"Time","aimc.idq_sr[2]","vfController.x","aimc.is[1]","aimc.is[2]","aimc.idq_rr[1]","mass.v","aimc.idq_sr[1]","aimc.idq_rr[2]","mass.s"
0.25071633,-285.78867,9.8738184,77.065048,251.42868,-197.71574,0.64471,190.70186,245.84494,0.058173351
0.25171921,-273.69504,9.9529667,50.478344,267.05231,-209.55426,0.65402555,203.84183,233.15527,0.058824539
0.25272205,-260.84021,10.032432,23.640907,280.93185,-220.70251,0.66382349,216.31728,219.78496,0.059485313
0.25372493,-247.26524,10.112212,-3.2680395,292.94626,-231.11804,0.67408401,228.08116,205.77647,0.060156144
0.25472778,-233.01459,10.192308,-30.064402,302.98553,-240.76239,0.68478519,239.09042,191.17532,0.060837489
0.25573066,-218.13551,10.27272,-56.560619,310.95187,-249.60143,0.69590276,249.30627,176.02959,0.061529778
0.25673354,-202.67781,10.353449,-82.567131,316.76099,-257.60541,0.70741057,258.6944,160.3895,0.062233415
0.25773638,-186.69324,10.434493,-107.89392,320.34308,-264.74924,0.71928072,267.2251,144.3071,0.062948778
0.25873926,-170.23524,10.515854,-132.35213,321.6438,-271.01248,0.73148382,274.87344,127.83571,0.063676208
0.25974211,-153.35835,10.597529,-155.75565,320.62521,-276.37943,0.74398917,281.61929,111.02955,0.064416036
0.26074499,-136.11784,10.679522,-177.92271,317.2663,-280.83902,0.75676525,287.4473,93.943336,0.065168545
0.26174784,-118.56935,10.76183,-198.67769,311.56372,-284.38483,0.76977968,292.34683,76.631836,0.065933987
0.26275072,-100.76836,10.844454,-217.85248,303.53214,-287.01486,0.78299969,296.31186,59.149506,0.066712581
0.26375359,-82.76992,10.927394,-235.28825,293.20447,-288.73148,0.79639244,299.34085,41.550137,0.067504525
0.26475644,-64.628304,11.010651,-250.83685,280.63193,-289.54108,0.80992514,301.43649,23.88653,0.068309978
0.26575932,-46.396645,11.094222,-264.36234,265.88406,-289.45401,0.82356519,302.6055,6.2101784,0.069129057
0.26676217,-28.126701,11.17811,-275.74228,249.04843,-288.48413,0.83728081,302.8584,-11.428967,0.069961853
0.26776505,-9.8686333,11.262314,-284.86899,230.23013,-286.64862,0.85104084,302.20917,-28.982704,0.070808433
0.26876792,8.3291721,11.346834,-291.65063,209.55133,-283.96759,0.86481524,300.6749,-46.404743,0.071668819
0.26977077,26.420315,11.43167,-296.01239,187.15053,-280.46387,0.87857503,298.2756,-63.650906,0.07254301
0.27077365,44.360504,11.516822,-297.89719,163.18161,-276.16272,0.89229262,295.03387,-80.67923,0.073430985
0.2717765,62.107605,11.602289,-297.26657,137.81287,-271.09137,0.90594202,290.97452,-97.450012,0.074332692
0.27277938,79.621681,11.688073,-294.10117,111.22582,-265.27881,0.91949862,286.12427,-113.92583,0.075248033
0.27378222,96.865036,11.774173,-288.40106,83.613976,-258.75546,0.93293977,280.51141,-130.07158,0.076176919
0.2747851,113.80219,11.860588,-280.18634,55.181412,-251.55287,0.94624442,274.16565,-145.85445,0.077119216
0.27578798,130.39986,11.94732,-269.49698,26.141315,-243.70357,0.95939332,267.11768,-161.24387,0.078074776
0.27679083,146.62691,12.034368,-256.39279,-3.2856309,-235.2406,0.97236913,259.39902,-176.21146,0.079043441
0.27779371,162.45424,12.121731,-240.95346,-32.872845,-226.19748,0.98515642,251.04179,-190.73096,0.080025025
0.27879655,177.85475,12.209411,-223.27791,-62.389576,-216.60793,0.99774152,242.0784,-204.77811,0.081019327
0.27979943,192.80318,12.297406,-203.48396,-91.602661,-206.50565,1.0101126,232.54144,-218.33052,0.082026154
0.28080228,207.27603,12.385717,-181.70766,-120.27832,-195.92422,1.0222597,222.46356,-231.36765,0.083045267
0.28180516,221.25148,12.474345,-158.10248,-148.18398,-184.89702,1.0341744,211.87723,-243.87061,0.084076449
0.28280804,234.70924,12.563289,-132.83833,-175.09007,-173.45697,1.0458503,200.8147,-255.82207,0.085119464
0.28381088,247.63048,12.652548,-106.10056,-200.77199,-161.63654,1.0572822,189.30785,-267.20618,0.086174063
0.28481376,259.99762,12.742123,-78.088638,-225.01175,-149.46767,1.0684667,177.38815,-278.00836,0.087240003
0.28581661,271.79434,12.832014,-49.014969,-247.59998,-136.9817,1.0794017,165.08662,-288.21539,0.088317037
0.28681949,283.00543,12.922221,-19.103334,-268.33752,-124.20942,1.0900866,152.43379,-297.81503,0.089404911
0.28782234,293.61673,13.012745,11.412623,-287.03732,-111.18089,1.1005218,139.45959,-306.7962,0.090503372
0.28882521,303.61499,13.103583,42.291065,-303.52603,-97.925591,1.1107092,126.19352,-315.14871,0.091612175
0.28982809,312.98782,13.194738,73.283714,-317.64563,-84.472382,1.1206516,112.66451,-322.86325,0.092731073
0.29083094,321.72366,13.28621,104.1377,-329.25497,-70.849525,1.130353,98.901009,-329.9314,0.093859822
0.29183382,329.81174,13.377996,134.59747,-338.23126,-57.084698,1.139818,84.931,-336.3454,0.094998181
0.29283667,337.24194,13.470099,164.40683,-344.47134,-43.205074,1.1490524,70.782051,-342.09827,0.096145913
0.29383954,344.00485,13.562519,193.3109,-347.89294,-29.237343,1.1580626,56.481342,-347.18375,0.097302794
