"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","transformer.l2sigma.inductor[3].i","loadInertia.phi","transformer.l2sigma.inductor[2].i","aimc.idq_sr[1]","aimc.idq_rr[2]"
2,-194.38005,180.93385,-91.3209,-181.96873,120.6953,-455.24298,132.17841,90.631927,-199.10458,198.09268
2.0000975,-205.30392,178.77412,-78.088905,-197.87198,120.69804,0.014668153,132.19017,-0.015199427,-196.9451,208.56287
2.0001976,-216.39893,176.71506,-64.247192,-213.86911,120.70135,0.014375525,132.20224,-0.015448205,-194.89079,219.19186
2.0002975,-227.38716,174.81042,-50.140244,-229.54449,120.70515,0.014068708,132.21432,-0.015681736,-192.99548,229.7133
2.0003977,-238.26511,173.05769,-35.785156,-244.88409,120.70946,0.013748011,132.22639,-0.015899789,-191.25661,240.12379
2.0004976,-249.02919,171.45412,-21.199177,-259.87415,120.71428,0.013413748,132.23846,-0.016102148,-189.67142,250.41995
2.0005975,-259.67606,169.99699,-6.3996634,-274.50134,120.71963,0.01306625,132.25053,-0.016288618,-188.23714,260.59857
2.0006976,-270.20233,168.68355,8.5958481,-288.75278,120.72549,0.012705858,132.2626,-0.016459007,-186.95099,270.65646
2.0007975,-280.60474,167.511,23.769676,-302.61594,120.7319,0.012332926,132.27467,-0.016613148,-185.81015,280.59052
2.0008976,-290.88019,166.47649,39.104153,-316.07886,120.73882,0.011947827,132.28676,-0.016750898,-184.81171,290.39777
2.0009975,-301.02554,165.57713,54.581432,-329.12991,120.74628,0.011550938,132.29883,-0.01687211,-183.95276,300.07526
2.0010977,-311.03787,164.81,70.183678,-341.75797,120.75429,0.011142649,132.3109,-0.016976668,-183.2303,309.62021
2.0011976,-320.91428,164.17207,85.893051,-353.95239,120.76282,0.010723369,132.32298,-0.017064475,-182.64131,319.02988
2.0012977,-330.65195,163.66039,101.69159,-365.703,120.7719,0.010293505,132.33505,-0.017135436,-182.18271,328.30161
2.0013976,-340.24814,163.27185,117.56139,-377.00003,120.7815,0.0098534841,132.34714,-0.017189482,-181.85141,337.4328
2.0014977,-349.70023,163.00339,133.48459,-387.83426,120.79166,0.009403741,132.35922,-0.017226564,-181.64426,346.42099
2.0015976,-359.00565,162.85187,149.44327,-398.19702,120.80235,0.0089447191,132.37129,-0.017246643,-181.55806,355.26373
