"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","loadInertia.phi","loadInertia.w","inductor.inductor[1].i","inductor.inductor[3].i"
0,-0,0,-0,0,0,0,0,0,0,0
0.1,-3.274321e-09,-0.00070710422,-3.2743244e-09,-0.00081649551,-3.5610735e-06,0.00078877364,2.0451969e-12,4.0987862e-11,-1.6376045e-09,0.00070710713
0.1,-3.274321e-09,-0.00070710422,-3.2743244e-09,-0.00081649551,-3.5610735e-06,0.00078877364,2.0451969e-12,4.0987862e-11,-1.6376045e-09,0.00070710713
2,-167.24821,-78.074432,208.92426,-138.50816,-210.75621,117.669,146.79694,129.77438,-167.24821,245.32335
2,-167.24821,-78.074432,208.92426,-138.50816,-210.75621,117.669,146.79694,129.77438,-167.24821,245.32335
2.0018728,0.00033572511,-162.5174,176.84991,-62.768669,-178.24213,43.811337,147.03999,129.75313,0.00040550623,162.51761
2.0018728,0.00033572511,-162.5174,176.84991,-62.768669,-178.24213,43.811337,147.03999,129.75313,0.00040550623,162.51761
2.0042558,0.0019107239,-0.0018975991,0.0021890239,0.0002068529,-6.4289703,-17.223974,147.34894,129.48878,0.0024493127,0.00054936495
2.0042558,0.0019107239,-0.0018975991,0.0021890239,0.0002068529,-6.4289703,-17.223974,147.34894,129.48878,0.0024493127,0.00054936495
2.0042558,0.0018031629,-0.00081805111,0.0014206535,0.0011146491,-6.4282279,-17.22485,147.34894,129.48878,0.0026928498,-0.00069263089
2.0042558,0.0018031629,-0.00081805111,0.0014206535,0.0011146491,-6.4282279,-17.22485,147.34894,129.48878,0.0026928498,-0.00069263089
2.02,0.0015077868,-0.0025679038,-0.00088482001,0.0024244641,-6.0158262,-16.12673,149.36264,126.33875,0.00097772828,0.0026976224
2.02,0.0015077868,-0.0025679038,-0.00088482001,0.0024244641,-6.0158262,-16.12673,149.36264,126.33875,0.00097772828,0.0026976224
2.0699999,144.75717,390.51907,-99.983109,-544.66229,68.413864,528.90125,155.46738,129.72203,680.03339,-925.79602
2.0699999,144.75717,390.51907,-99.983109,-544.66229,68.413864,528.90125,155.46738,129.72203,680.03339,-925.79602
