"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","PI.x","aimc.idq_rr[2]","aimc.idq_sr[1]","powerSensor.flange_a.phi"
4.5,-6.5415506,-0.18918434,-6.77776,-0.84188414,157.0419,0.00028713819,0.15851752,-5.147893,706.68787
4.5000978,-6.5415883,-0.18918553,-6.6244411,-1.096915,157.0419,0.00136888,0.15851615,-5.1478443,706.70325
4.5001979,-6.5416274,-0.18918677,-6.4612489,-1.3565406,157.0419,0.0047009289,0.15851477,-5.1477952,706.71893
4.500298,-6.541666,-0.18918805,-6.2916803,-1.6148274,157.0419,0.010274345,0.15851341,-5.1477456,706.73462
4.5003977,-6.5417051,-0.18918939,-6.1159024,-1.8715206,157.0419,0.018079607,0.1585121,-5.147696,706.75037
4.5004978,-6.5417442,-0.18919082,-5.9340882,-2.1263669,157.0419,0.028106354,0.15851086,-5.1476464,706.76605
4.500598,-6.5417833,-0.18919235,-5.7464175,-2.3791149,157.04189,0.040344391,0.15850972,-5.1475968,706.78174
4.5006976,-6.5418224,-0.18919399,-5.5530758,-2.6295147,157.04189,0.05478368,0.15850867,-5.1475472,706.79742
4.5007977,-6.541862,-0.1891958,-5.3542528,-2.8773198,157.04187,0.071414098,0.15850775,-5.1474972,706.81317
4.5008979,-6.5419016,-0.18919775,-5.150146,-3.1222854,157.04187,0.090225503,0.15850696,-5.1474471,706.82886
4.500998,-6.5419412,-0.18919989,-4.9409556,-3.3641696,157.04185,0.11120778,0.15850632,-5.1473966,706.84454
4.5010977,-6.5419812,-0.18920225,-4.7268891,-3.6027339,157.04185,0.13435084,0.15850586,-5.147346,706.86029
4.5011978,-6.5420208,-0.18920483,-4.5081573,-3.8377428,157.04184,0.15964454,0.15850559,-5.147295,706.87598
4.501298,-6.5420613,-0.18920764,-4.2849755,-4.0689645,157.04182,0.18707877,0.15850551,-5.147244,706.89166
4.5013981,-6.5421019,-0.18921073,-4.0575647,-4.2961707,157.04181,0.21664333,0.15850566,-5.147193,706.90741
4.5014977,-6.5421424,-0.18921411,-3.826149,-4.5191369,157.04179,0.24832796,0.15850604,-5.1471415,706.9231
4.5015979,-6.5421834,-0.18921778,-3.5909567,-4.7376437,157.04178,0.28212252,0.15850668,-5.1470895,706.93878
4.501698,-6.5422249,-0.18922178,-3.3522198,-4.9514747,157.04176,0.31801692,0.15850757,-5.147037,706.95447
4.5017977,-6.5422664,-0.18922614,-3.1101744,-5.1604195,157.04175,0.35600084,0.15850875,-5.1469846,706.97021
4.5018978,-6.5423079,-0.18923084,-2.8650587,-5.3642716,157.04173,0.39606392,0.15851024,-5.1469312,706.9859
4.5019979,-6.5423503,-0.18923594,-2.6171148,-5.5628295,157.04172,0.43819606,0.15851203,-5.1468778,707.00159
4.5020981,-6.5423927,-0.18924144,-2.3665876,-5.755898,157.04169,0.4823871,0.15851416,-5.1468244,707.01733
4.5021977,-6.5424356,-0.18924735,-2.113724,-5.9432859,157.04167,0.52862662,0.15851663,-5.14677,707.03302
4.5022979,-6.542479,-0.18925373,-1.8587738,-6.1248083,157.04164,0.57690424,0.15851946,-5.1467152,707.04871
4.502398,-6.5425224,-0.18926056,-1.6019883,-6.3002858,157.04163,0.62720978,0.15852267,-5.1466599,707.06445
4.5024977,-6.5425668,-0.18926787,-1.3436211,-6.4695458,157.0416,0.679533,0.15852626,-5.1466041,707.08014
4.5025978,-6.5426111,-0.18927568,-1.0839273,-6.6324215,157.04158,0.73386347,0.15853027,-5.1465478,707.09583
4.5026979,-6.5426559,-0.18928401,-0.82316273,-6.7887506,157.04155,0.79019082,0.15853468,-5.1464911,707.11151
4.5027981,-6.5427012,-0.18929289,-0.56158513,-6.9383802,157.04152,0.84850478,0.15853952,-5.1464338,707.12726
4.5028977,-6.542747,-0.18930233,-0.29945248,-7.081162,157.04149,0.90879506,0.15854482,-5.1463761,707.14294
4.5029979,-6.5427933,-0.18931234,-0.037023515,-7.2169552,157.04146,0.97105122,0.15855058,-5.1463175,707.15863
4.503098,-6.54284,-0.18932295,0.2254428,-7.3456259,157.04143,1.0352629,0.1585568,-5.1462584,707.17438
4.5031977,-6.5428872,-0.18933418,0.48768744,-7.4670463,157.0414,1.1014197,0.15856352,-5.1461987,707.19006
4.5032978,-6.5429354,-0.18934605,0.74945158,-7.5810971,157.04137,1.1695112,0.15857075,-5.1461382,707.20575
