"Time","smee.idq_sr[1]","smee.inertiaRotor.w","smee.is[1]","smee.idq_sr[2]","smee.is[2]","smee.lesigma.i","smee.idq_dr[1]","smee.inertiaRotor.phi","smee.idq_rr[2]"
2,-5.6994622e-06,157.07968,5.7006218e-06,-9.8102435e-05,8.2108832e-05,10.000001,2.5233726e-06,300.02209,0.0012187492
2.0000975,-5.6346908e-06,157.09651,-4.5050547e-05,-0.0016543358,0.0014546991,10.000001,2.495568e-06,300.03741,0.0027233858
2.0001976,-5.0782187e-06,157.11374,-0.00039503674,-0.0064508398,0.0057736263,10.000001,2.2576746e-06,300.05313,0.0073612584
2.0002975,-2.9487751e-06,157.13098,-0.0013453421,-0.014442724,0.013126055,10,1.3487378e-06,300.06885,0.015086451
2.0003977,2.6594537e-06,157.14822,-0.0031902224,-0.025583684,0.023578299,10,-1.0413354e-06,300.08456,0.025851648
2.0004976,1.4196544e-05,157.16545,-0.0062158741,-0.039828043,0.037177384,9.999999,-5.951496e-06,300.10028,0.039610188
2.0005975,3.4831715e-05,157.18266,-0.010699775,-0.057130832,0.053951185,9.9999981,-1.4722002e-05,300.116,0.056316145
2.0006976,6.840616e-05,157.19987,-0.016909776,-0.077447578,0.073908262,9.9999962,-2.8972767e-05,300.13171,0.075924106
2.0007975,0.00011938957,157.21707,-0.025103234,-0.10073429,0.097037882,9.9999933,-5.0583487e-05,300.14743,0.098389164
2.0008976,0.00019285479,157.23427,-0.035526197,-0.12694746,0.12331019,9.9999886,-8.1680468e-05,300.16315,0.12366693
2.0009975,0.00029443533,157.25143,-0.04841261,-0.1560441,0.15267634,9.9999828,-0.00012461947,300.17889,0.15171352
2.0010977,0.00043047586,157.2686,-0.063983761,-0.18798184,0.18506891,9.9999743,-0.00018204525,300.19461,0.18248571
2.0011976,0.00060785632,157.28575,-0.082447395,-0.22271881,0.22040196,9.9999638,-0.00025682017,300.21033,0.21594079
2.0012977,0.00083381863,157.30289,-0.10399692,-0.26021367,0.25857139,9.9999504,-0.00035194226,300.22607,0.2520366
2.0013976,0.0011162874,157.31999,-0.12881106,-0.30042571,0.29945534,9.9999332,-0.00047068999,300.24179,0.29073161
2.0014977,0.0014635125,157.33708,-0.15705304,-0.34331477,0.34291473,9.9999132,-0.00061645824,300.25754,0.33198488
2.0015976,0.0018843292,157.35416,-0.18887019,-0.38884124,0.38879344,9.9998875,-0.00079287996,300.27325,0.37575603
2.0016975,0.002387855,157.3712,-0.22439325,-0.43696621,0.436919,9.9998569,-0.0010036844,300.289,0.42200536
2.0017977,0.0029837536,157.38823,-0.26373613,-0.48765126,0.4871031,9.9998217,-0.0012528204,300.30475,0.47069368
2.0018976,0.0036819351,157.40524,-0.30699527,-0.54085869,0.53914213,9.9997797,-0.0015443172,300.3205,0.52178252
2.0019977,0.0044928077,157.42221,-0.35424948,-0.5965513,0.59281778,9.9997311,-0.0018824012,300.33621,0.57523406
2.0020976,0.0054269843,157.43916,-0.40555933,-0.65469259,0.64789778,9.9996748,-0.0022713623,300.35196,0.63101101
2.0021977,0.0064954744,157.45609,-0.46096715,-0.71524668,0.70413637,9.9996099,-0.0027156407,300.36771,0.68907672
2.0022976,0.0077095581,157.47298,-0.52049661,-0.77817833,0.76127541,9.9995365,-0.00321977,300.38345,0.74939531
2.0023978,0.0090807751,157.48985,-0.58415264,-0.84345281,0.81904465,9.9994535,-0.0037883723,300.3992,0.81193143
2.0024977,0.010620868,157.50668,-0.65192097,-0.91103625,0.87716299,9.999361,-0.0044261334,300.41498,0.87665033
2.0025976,0.012341833,157.52348,-0.72376865,-0.98089528,0.93533885,9.9992571,-0.0051378263,300.43073,0.9435181
2.0026977,0.014255844,157.54025,-0.7996434,-1.0529971,0.99327141,9.9991407,-0.0059282728,300.44647,1.0125014
2.0027976,0.016375246,157.55699,-0.87947381,-1.1273099,1.0506511,9.999012,-0.0068023507,300.46222,1.0835673
2.0028977,0.018712567,157.57368,-0.96316946,-1.2038019,1.1071608,9.9988708,-0.0077650007,300.478,1.1566838
2.0029976,0.021280408,157.59035,-1.0506209,-1.2824425,1.1624764,9.9987144,-0.0088211596,300.49374,1.2318195
2.0030978,0.02409149,157.60698,-1.1417001,-1.3632015,1.2162683,9.9985437,-0.0099757966,300.50949,1.3089435
2.0031977,0.027158609,157.62357,-1.2362601,-1.4460495,1.2682017,9.9983578,-0.011233891,300.52527,1.3880256
2.0032978,0.030494617,157.64011,-1.3341354,-1.5309572,1.3179379,9.9981546,-0.012600436,300.54102,1.4690365
2.0033977,0.034112394,157.65662,-1.4351429,-1.6178968,1.3651353,9.9979343,-0.014080398,300.55679,1.551947
2.0034978,0.038024828,157.6731,-1.5390811,-1.7068404,1.4094504,9.9976959,-0.01567873,300.57257,1.636729
2.0035977,0.042244799,157.68951,-1.6457316,-1.7977612,1.4505386,9.9974384,-0.017400367,300.58832,1.7233548
2.0036976,0.046785206,157.7059,-1.7548584,-1.8906325,1.4880552,9.9971609,-0.019250236,300.6041,1.8117973
2.0037978,0.051658828,157.72224,-1.8662094,-1.9854286,1.5216568,9.9968634,-0.021233181,300.61987,1.90203
2.0038977,0.05687838,157.73854,-1.9795164,-2.0821245,1.5510017,9.9965439,-0.023354003,300.63565,1.9940274
2.0039978,0.062456507,157.75479,-2.0944955,-2.1806953,1.5757514,9.9962025,-0.025617454,300.65143,2.0877638
2.0040977,0.068405785,157.77098,-2.2108479,-2.2811172,1.5955715,9.9958382,-0.02802825,300.66721,2.1832149
2.0041978,0.074738577,157.78714,-2.3282607,-2.3833666,1.6101326,9.99545,-0.030590981,300.68298,2.2803566
2.0042977,0.081467122,157.80325,-2.4464071,-2.4874206,1.6191113,9.9950371,-0.033310175,300.69876,2.3791654
2.0043979,0.088603497,157.81931,-2.5649476,-2.5932572,1.6221913,9.9945993,-0.036190279,300.71454,2.4796183
2.0044978,0.096159652,157.83533,-2.6835303,-2.7008545,1.6190642,9.9941349,-0.039235663,300.73032,2.5816929
2.0045979,0.10414724,157.85127,-2.8017919,-2.8101912,1.6094307,9.9936438,-0.042450562,300.74609,2.6853676
2.0046978,0.11257771,157.86719,-2.919359,-2.9212468,1.5930014,9.993125,-0.045839101,300.7619,2.790621
2.0047977,0.12146229,157.88304,-3.0358472,-3.0340011,1.5694976,9.9925776,-0.049405307,300.77768,2.8974323
2.0048978,0.13081203,157.89885,-3.1508646,-3.1484344,1.5386525,9.9920015,-0.053153113,300.79349,3.0057812
2.0049977,0.14063758,157.9146,-3.26401,-3.2645278,1.5002121,9.991395,-0.057086274,300.80927,3.1156483
2.0050979,0.15094934,157.93028,-3.374876,-3.3822625,1.4539359,9.9907579,-0.061208423,300.82504,3.2270141
2.0051978,0.16175745,157.94592,-3.4830484,-3.5016205,1.3995974,9.9900904,-0.065523066,300.84085,3.3398597
2.0052979,0.17307177,157.96152,-3.5881083,-3.6225841,1.3369859,9.9893904,-0.070033602,300.85666,3.4541671
2.0053978,0.18490173,157.97704,-3.6896322,-3.7451363,1.2659063,9.9886589,-0.074743226,300.87244,3.5699186
2.0054979,0.19725645,157.99251,-3.7871931,-3.8692598,1.1861806,9.9878931,-0.079654977,300.88824,3.6870966
2.0055978,0.2101447,158.00792,-3.8803627,-3.9949389,1.0976478,9.9870949,-0.084771775,300.90405,3.8056841
2.0056977,0.223575,158.02327,-3.9687104,-4.1221576,1.0001655,9.9862614,-0.090096399,300.91986,3.9256647
2.0057979,0.23755531,158.03856,-4.051806,-4.2508998,0.89360988,9.9853935,-0.095631391,300.93564,4.0470223
2.0058978,0.25209329,158.0538,-4.1292205,-4.3811512,0.77787697,9.9844904,-0.10137916,300.95145,4.1697412
2.0059979,0.26719615,158.06897,-4.2005262,-4.512897,0.65288252,9.983551,-0.10734195,300.96725,4.2938061
2.0060978,0.28287086,158.08408,-4.2652984,-4.6461225,0.51856297,9.9825754,-0.11352185,300.98306,4.4192019
2.0061979,0.29912373,158.09912,-4.3231173,-4.7808137,0.37487593,9.9815636,-0.11992072,300.99887,4.5459142
2.0062978,0.31596082,158.11411,-4.3735671,-4.9169574,0.22180057,9.9805136,-0.12654024,301.01471,4.6739283
2.006398,0.33338761,158.12903,-4.4162397,-5.0545402,0.059338011,9.9794273,-0.13338196,301.03052,4.8032312
2.0064979,0.35140935,158.14389,-4.4507322,-5.1935487,-0.11248834,9.978302,-0.14044721,301.04633,4.9338083
2.006598,0.37003064,158.15868,-4.4766521,-5.3339705,-0.29363221,9.9771385,-0.14773715,301.06213,5.0656471
2.0066979,0.38925564,158.1734,-4.4936152,-5.4757934,-0.48402441,9.9759369,-0.15525268,301.07794,5.1987338
2.0067978,0.40908816,158.18806,-4.5012474,-5.6190047,-0.68357253,9.9746962,-0.16299459,301.09378,5.3330564
2.0068979,0.42953151,158.20265,-4.4991865,-5.7635932,-0.89216095,9.9734154,-0.1709635,301.10959,5.4686017
2.0069978,0.45058846,158.21718,-4.487083,-5.9095469,-1.1096503,9.9720964,-0.17915972,301.12543,5.6053581
2.007098,0.47226134,158.23164,-4.4646006,-6.0568542,-1.3358774,9.9707375,-0.18758343,301.14124,5.7433133
2.0071979,0.49455199,158.24602,-4.4314175,-6.2055044,-1.5706559,9.9693384,-0.19623463,301.15707,5.8824553
2.007298,0.51746184,158.26035,-4.3872261,-6.3554864,-1.8137757,9.9678993,-0.20511314,301.17288,6.0227728
2.0073979,0.54099166,158.27458,-4.3317375,-6.5067892,-2.0650024,9.9664202,-0.21421854,301.18872,6.1642547
2.007498,0.56514198,158.28877,-4.2646775,-6.6594024,-2.3240793,9.964901,-0.2235502,301.20456,6.3068891
2.0075979,0.58991253,158.30287,-4.1857915,-6.8133154,-2.5907254,9.9633408,-0.23310731,301.22037,6.4506655
2.0076978,0.61530286,158.31691,-4.0948434,-6.9685178,-2.8646369,9.9617414,-0.24288894,301.23621,6.5955725
2.007798,0.64131188,158.33087,-3.9916167,-7.1249995,-3.1454873,9.9601011,-0.25289387,301.25204,6.7416
2.0078979,0.66793793,158.34476,-3.8759153,-7.2827506,-3.4329274,9.9584208,-0.26312071,301.26788,6.8887367
2.007998,0.69517893,158.35857,-3.747565,-7.4417605,-3.7265856,9.9567003,-0.27356786,301.28372,7.0369725
2.0080979,0.72303247,158.37231,-3.6064129,-7.6020207,-4.0260696,9.9549398,-0.2842336,301.29956,7.1862969
2.008198,0.75149536,158.38597,-3.4523292,-7.7635202,-4.3309641,9.9531393,-0.29511598,301.3154,7.3366995
2.0082979,0.78056413,158.39957,-3.285207,-7.9262495,-4.6408348,9.9512987,-0.30621281,301.33124,7.4881697
2.0083981,0.81023473,158.41309,-3.1049638,-8.0901995,-4.9552255,9.949419,-0.31752178,301.34708,7.6406975
2.008498,0.84050268,158.42651,-2.911541,-8.2553596,-5.2736611,9.9475002,-0.32904041,301.36292,7.7942734
2.0085981,0.87136304,158.43988,-2.7049055,-8.4217205,-5.5956483,9.9455414,-0.34076595,301.37875,7.9488859
2.008698,0.90281028,158.45316,-2.4850492,-8.5892735,-5.9206738,9.9435444,-0.35269555,301.39459,8.1045265
2.0087979,0.93483841,158.46637,-2.2519906,-8.758008,-6.2482085,9.9415083,-0.36482614,301.41046,8.2611837
2.008898,0.96744132,158.47949,-2.0057728,-8.9279156,-6.5777054,9.939435,-0.37715453,301.4263,8.418848
2.0089979,1.0006119,158.49254,-1.7464674,-9.0989847,-6.9086013,9.9373236,-0.38967729,301.44214,8.5775089
2.0090981,1.034343,158.50551,-1.4741715,-9.2712078,-7.2403188,9.935174,-0.40239087,301.45801,8.7371569
2.009198,1.0686268,158.51839,-1.18901,-9.4445744,-7.5722656,9.9329882,-0.41529152,301.47385,8.8977823
2.0092981,1.1034551,158.53119,-0.89113444,-9.6190739,-7.9038372,9.9307652,-0.42837536,301.48972,9.0593729
2.009398,1.1388192,158.54391,-0.58072406,-9.7946968,-8.2344151,9.9285069,-0.44163835,301.50555,9.22192
2.0094981,1.1747104,158.55656,-0.25798559,-9.9714346,-8.5633698,9.9262123,-0.45507625,301.52142,9.3854132
2.009598,1.2111188,158.56912,0.07684698,-10.149276,-8.8900633,9.9238834,-0.4686847,301.53726,9.5498419
2.0096982,1.2480347,158.58159,0.42351219,-10.328211,-9.2138462,9.9215202,-0.48245925,301.55313,9.7151947
