"Time","smee.is[1]","smee.is[2]","smee.idq_sr[1]","smee.idq_sr[2]","smee.idq_rr[2]","smee.lesigma.i","smee.idq_dr[1]","speed.phi","speed.w","voltageController.I.y"
0,0,-0,0,0,-0.032222223,0,-0.070138894,0,0,0
1,-0.001265789,-7.7158642e-05,1.2117531e-06,-0.0015081294,0.0001744286,10.37401,3.0567517,78.041405,156.57964,55.183971
1,-0.001265789,-7.7158642e-05,1.2117531e-06,-0.0015081294,0.0001744286,10.37401,3.0567517,78.041405,156.57964,55.183971
2,-0.0011904846,-6.6693727e-05,-5.3439614e-08,-0.0014147317,1.8460211e-06,10.009934,-0.058334537,235.11945,157.07964,50.149776
2,-0.0011904846,-6.6693727e-05,-5.3439614e-08,-0.0014147317,1.8460211e-06,10.009934,-0.058334537,235.11945,157.07964,50.149776
4,-113.4969,129.81351,-132.31609,-49.919983,0.00019321665,23.513407,-0.00019443619,549.27869,157.07964,117.56694
4,-113.4969,129.81351,-132.31609,-49.919983,0.00019321665,23.513407,-0.00019443619,549.27869,157.07964,117.56694
4.0003085,-118.42941,118.42975,-127.02079,-50.66037,0.71599865,23.18984,-2.1697345,549.32715,157.07964,117.56184
4.0003085,-118.42941,118.42975,-127.02079,-50.66037,0.71599865,23.18984,-2.1697345,549.32715,157.07964,117.56184
4.0040221,-0.0028043091,0.00059991312,-0.0029487987,-0.00016388252,-46.801716,14.870689,-48.59251,549.91046,157.07964,117.20392
4.0040221,-0.0028043091,0.00059991312,-0.0029487987,-0.00016388252,-46.801716,14.870689,-48.59251,549.91046,157.07964,117.20392
4.0040221,-0.00059999997,-0.0010109453,-0.00097363564,-0.0013051707,-46.800579,14.870547,-48.593094,549.91046,157.07964,117.20391
4.0040221,-0.00059999997,-0.0010109453,-0.00097363564,-0.0013051707,-46.800579,14.870547,-48.593094,549.91046,157.07964,117.20391
4.0500002,0.0015795795,-0.00041947493,-0.00049363519,-0.0015602051,-32.237511,13.695003,-25.934387,557.13269,157.07964,112.59999
4.0500002,0.0015795795,-0.00041947493,-0.00049363519,-0.0015602051,-32.237511,13.695003,-25.934387,557.13269,157.07964,112.59999
