"Time","rectifier.thyristor_p2.off","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n1.off","meanCurrent.y","meanVoltage.y","dcpm.inertiaRotor.phi","inductor.i","pulse2.twoPulse.filter[1].transferFunction[2].x_scaled[1]","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.thyristor_n2.off","rectifier.thyristor_p1.off","pulse2.twoPulse.filter[1].firstOrder.y","meanCurrent.x","lMains.i","pulse2.twoPulse.timerNegative[1].entryTime"
2.45,1,2.440042,1,99.885269,96.427017,349.53937,100.62776,-15.678823,0,143.70544,0,12079.05,14.693975,0,0,62.582581,0,100.62777,2.4300418
2.4500084,1,2.440042,1,99.885269,96.427017,349.54056,100.57844,-15.684181,6.0134244e-07,143.70546,1.736185e-06,12079.05,14.708726,0,0,62.252254,0.00085018453,100.57844,2.4300418
2.450042,1,2.440042,1,99.885269,96.427017,349.54538,100.38115,-15.704279,3.3094755e-05,143.70554,-2.5624191e-05,12079.05,14.766054,0,0,60.940666,0.0042108279,100.38112,2.4300418
2.450042,1,2.440042,1,99.885269,96.427017,349.54538,100.38115,-15.704279,3.3094755e-05,143.70554,-2.5624191e-05,12079.05,14.766054,0,0,60.940666,0.0042108279,100.38112,2.450042
2.450042,1,2.440042,1,99.885269,96.427017,349.54538,100.38115,-15.704279,3.3094759e-05,143.70554,-2.5624193e-05,12079.05,14.766054,0,0,60.940666,0.0042108279,100.38112,2.450042
2.450042,0,2.440042,0,99.885269,96.427017,349.54538,100.38115,-15.704279,3.3094759e-05,143.70554,-2.5624193e-05,12079.05,14.766054,0,0,60.940666,0.0042108279,100.38112,2.450042
2.4501922,0,2.440042,0,99.885269,96.427017,349.56699,99.502419,-15.773744,3.3094911e-05,143.70549,-2.5774381e-05,12079.05,15.003884,0,0,55.449833,0.019229591,94.36422,2.450042
2.4503922,0,2.440042,0,99.885269,96.427017,349.5957,98.333443,-15.817791,3.3095104e-05,143.70457,-2.5972233e-05,12079.05,15.274323,0,0,48.90147,0.039014716,75.397369,2.450042
2.4505923,0,2.440042,0,99.885269,96.427017,349.62445,97.165199,-15.813071,3.3095297e-05,143.70267,-2.6167747e-05,12079.05,15.497938,0,0,43.126381,0.058566105,44.057964,2.450042
2.4507923,0,2.440042,0,99.885269,96.427017,349.6532,95.997673,-15.765874,3.3095483e-05,143.69977,-2.6360924e-05,12079.05,15.680366,0,0,38.033295,0.077883892,0.54589999,2.450042
2.4509923,0,2.440042,0,99.885269,96.427017,349.68195,94.830879,-15.681745,3.3095665e-05,143.69586,-2.6551768e-05,12079.05,15.826576,0,0,33.541634,0.096968234,-54.891361,2.450042
2.4511132,0,2.440042,0,99.885269,96.427017,349.69934,94.124886,-15.614954,3.3095774e-05,143.69302,-2.6666166e-05,12079.05,15.899363,0,0,31.084366,0.10840821,-94.124886,2.450042
2.4511132,0,2.440042,0,99.885269,96.427017,349.69934,94.124886,-15.614954,3.3095774e-05,143.69302,-2.6666166e-05,12079.05,15.899363,1,1,31.084366,0.10840821,-94.124886,2.450042
2.4511921,0,2.440042,0,99.885269,96.427017,349.71069,93.930618,-15.561707,0.24384716,143.69102,0.0043592663,12079.05,15.937085,1,1,26.891068,0.11582965,-93.93177,2.450042
2.4513922,0,2.440042,0,99.885269,96.427017,349.73941,93.515106,-15.373131,1.0111496,143.6857,0.016736839,12079.05,15.97852,1,1,16.39576,0.13457386,-93.516434,2.450042
2.4515922,0,2.440042,0,99.885269,96.427017,349.76816,93.207199,-15.11008,2.0132942,143.68005,0.030885741,12079.05,15.943849,1,1,6.0943761,0.15324579,-93.208702,2.450042
2.4517922,0,2.440042,0,99.885269,96.427017,349.79691,93.003479,-14.775639,3.2728126,143.67419,0.046750378,12079.05,15.835074,1,1,-4.0031157,0.17186663,-93.00515,2.450042
2.4519923,0,2.440042,0,99.885269,96.427017,349.82565,92.900101,-14.372925,4.8081894,143.6682,0.064268388,12079.05,15.654267,1,1,-13.883932,0.19045679,-92.901932,2.450042
2.4521923,0,2.440042,0,99.885269,96.427017,349.85437,92.892838,-13.905104,6.6335745,143.66217,0.083370894,12079.05,15.403587,1,1,-23.532953,0.20903598,-92.894821,2.450042
2.4523923,0,2.440042,0,99.885269,96.427017,349.88312,92.977066,-13.375403,8.7585545,143.65616,0.10398276,12079.05,15.085294,1,1,-32.933151,0.22762294,-92.979202,2.450042
2.4525924,0,2.440042,0,99.885269,96.427017,349.91183,93.147827,-12.787124,11.188004,143.65027,0.12602289,12079.05,14.701761,1,1,-42.066006,0.2462355,-93.150101,2.450042
2.4527924,0,2.440042,0,99.885269,96.427017,349.94058,93.399818,-12.143645,13.922009,143.64455,0.14940459,12079.05,14.255484,1,1,-50.911846,0.26489043,-93.402214,2.450042
2.4529924,0,2.440042,0,99.885269,96.427017,349.9693,93.727402,-11.448433,16.955866,143.63908,0.17403583,12079.05,13.749086,1,1,-59.450218,0.2836034,-93.729919,2.450042
2.4531925,0,2.440042,0,99.885269,96.427017,349.99805,94.124657,-10.705037,20.280146,143.63393,0.19981967,12079.05,13.185325,1,1,-67.660164,0.30238897,-94.127289,2.450042
2.4533925,0,2.440042,0,99.885269,96.427017,350.02676,94.585396,-9.9170961,23.880859,143.62912,0.22665463,12079.05,12.567087,1,1,-75.520523,0.32126045,-94.588127,2.450042
2.4535925,0,2.440042,0,99.885269,96.427017,350.05548,95.10318,-9.0883322,27.739658,143.62474,0.25443509,12079.05,11.897398,1,1,-83.010185,0.3402299,-95.106003,2.450042
2.4537926,0,2.440042,0,99.885269,96.427017,350.08423,95.671341,-8.2225504,31.834143,143.62082,0.2830517,12079.05,11.17941,1,1,-90.108345,0.35930806,-95.67424,2.450042
2.4539924,0,2.440042,0,99.885269,96.427017,350.11295,96.28302,-7.3236265,36.138195,143.6174,0.31239179,12079.05,10.416404,1,1,-96.794708,0.37850434,-96.285988,2.450042
2.4541924,0,2.440042,0,99.885269,96.427017,350.14166,96.93119,-6.3955097,40.622406,143.61452,0.34233987,12079.05,9.6117811,1,1,-103.04968,0.39782673,-96.934212,2.450042
2.4543924,0,2.440042,0,99.885269,96.427017,350.17038,97.608673,-5.4422064,45.254528,143.6122,0.372778,12079.05,8.7690582,1,1,-108.85459,0.41728181,-97.61174,2.450042
2.4545925,0,2.440042,0,99.885269,96.427017,350.19913,98.308197,-4.4677749,50,143.61047,0.40358642,12079.05,7.8918591,1,1,-114.19182,0.43687472,-98.311295,2.450042
2.4547925,0,2.440042,0,99.885269,96.427017,350.22784,99.0224,-3.4763153,54.822456,143.60933,0.43464381,12079.05,6.9839048,1,1,-119.04498,0.45660916,-99.025513,2.450042
2.4549925,0,2.440042,0,99.885269,96.427017,350.25656,99.743843,-2.4719563,59.684326,143.60881,0.46582788,12079.05,6.0490041,1,1,-123.39905,0.47648728,-99.746964,2.450042
2.4551926,0,2.440042,0,99.885269,96.427017,350.28528,100.4651,-1.4588457,64.547417,143.6089,0.49701589,12079.05,5.091042,1,1,-127.24048,0.49650982,-100.46821,2.450042
2.4553926,0,2.440042,0,99.885269,96.427017,350.31403,101.1787,-0.44113618,69.37352,143.6096,0.52808505,12079.05,4.1139679,1,1,-130.55733,0.51667595,-101.1818,2.450042
2.4555926,0,2.440042,0,99.885269,96.427017,350.34274,101.87726,0.57702696,74.125023,143.6109,0.55891311,12079.05,3.1217844,1,1,-133.33934,0.53698349,-101.88033,2.450042
2.4557927,0,2.440042,0,99.885269,96.427017,350.37146,102.55342,1.5915188,78.765472,143.61278,0.58937865,12079.05,2.1185315,1,1,-135.57803,0.5574286,-102.55644,2.450042
2.4559927,0,2.440042,0,99.885269,96.427017,350.40018,103.19993,2.5982485,83.260185,143.61522,0.61936182,12079.05,1.1082762,1,1,-137.26678,0.57800609,-103.2029,2.450042
2.4561927,0,2.440042,0,99.885269,96.427017,350.42892,103.80964,3.5931728,87.576752,143.61821,0.64874458,12079.05,0.095096774,1,1,-138.40088,0.59870934,-103.81255,2.450042
