"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9499998,0,1,12099.99,4.9400001,0,6.3351927,0,1,0,0,4.9499998,6.1631532,1.7126392
4.9501963,0,1,12099.99,4.9400001,0,6.3329434,0.0012418079,1,0.0059947972,-0.00093890837,4.9499998,6.1631532,1.7126392
4.9503961,0,1,12099.99,4.9400001,0,6.3287301,0.0025080575,1,0.04930808,-0.0038281004,4.9499998,6.1631532,1.7126392
4.9505959,0,1,12099.99,4.9400001,0,6.3225985,0.0037732723,1,0.16742697,-0.0086565735,4.9499998,6.1631532,1.7126392
4.9507961,0,1,12099.99,4.9400001,0,6.3145747,0.0050370712,1,0.39665788,-0.01540526,4.9499998,6.1631532,1.7126392
4.9509959,0,1,12099.99,4.9400001,0,6.3046932,0.0062990785,1,0.77155554,-0.024047526,4.9499998,6.1631532,1.7126392
4.9511962,0,1,12099.99,4.9400001,0,6.2929955,0.0075589269,1,1.3243771,-0.034549259,4.9499998,6.1631532,1.7126392
4.951396,0,1,12099.99,4.9400001,0,6.27953,0.0088162581,1,2.0845716,-0.046869013,4.9499998,6.1631532,1.7126392
4.9515963,0,1,12099.99,4.9400001,0,6.2643528,0.010070724,1,3.0783191,-0.060958162,4.9499998,6.1631532,1.7126392
4.9517961,0,1,12099.99,4.9400001,0,6.2475252,0.011321989,1,4.3281155,-0.076761097,4.9499998,6.1631532,1.7126392
4.9519963,0,1,12099.99,4.9400001,0,6.2291169,0.012569728,1,5.8524189,-0.094215453,4.9499998,6.1631532,1.7126392
4.9521961,0,1,12099.99,4.9400001,0,6.2092032,0.013813633,1,7.6653576,-0.11325233,4.9499998,6.1631532,1.7126392
4.9523959,0,1,12099.99,4.9400001,0,6.1878643,0.015053413,1,9.7765074,-0.1337966,4.9499998,6.1631532,1.7126392
