"Time","pulse2.twomPulse.filter[1].transferFunction[2].x_scaled[1]","pulse2.twomPulse.filter[2].transferFunction[2].x_scaled[1]","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[2].off","pulse2.twomPulse.filter[2].transferFunction[1].x_scaled[1]","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","pulse2.twomPulse.filter[2].firstOrder.y","lMains.inductor[3].i","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2.twomPulse.timerPositive[1].entryTime","dcpm.inertiaRotor.phi","inductor.i","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","pulse2.twomPulse.filter[3].firstOrder.y","pulse2.twomPulse.timerNegative[3].entryTime","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","pulse2.twomPulse.filter[1].firstOrder.y","rectifier.pre_p[2].u","pulse2.twomPulse.timerNegative[2].entryTime","rectifier.pre_n[1].u","pulse2.twomPulse.filter[3].transferFunction[1].x_scaled[1]","pulse2.twomPulse.timerPositive[2].entryTime","pulse2.twomPulse.timerPositive[3].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2.twomPulse.filter[3].transferFunction[2].x_scaled[1]","lMains.inductor[2].i","rectifier.pre_p[1].u","meanCurrent.x","pulse2.twomPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.pre_p[3].u","pulse2.twomPulse.timerNegative[1].entryTime"
2.45,-8.3801317,10.028151,0,1,-10.647334,1,0,0.84790295,-99.799797,99.999977,97.495934,1,1,2.4417133,355.08786,99.797195,0,145.29088,0,-80.617317,2.4450467,1,9542.5488,79.769417,1,2.43838,0,4.0353699,2.44838,2.4350467,0,-1.6480192,99.799797,1,0,6.6119637,0,2.4317133
2.4501922,-8.7719955,9.781889,0,1,-10.545232,1,0,6.9871135,-100.01028,99.999977,97.495934,1,1,2.4417133,355.11578,100.00774,2.0810728,145.29079,0.019998094,-83.284126,2.4450467,1,9542.5488,76.29702,1,2.43838,0,3.4328468,2.44838,2.4350467,0,-1.0098938,100.01039,1,0.01919855,7.1123853,0,2.4317133
2.4503922,-9.14293,9.4839497,0,1,-10.394424,1,0,13.272287,-100.21613,99.999977,97.495934,1,1,2.4417133,355.14484,100.21365,4.2310634,145.29089,0.040735256,-85.692062,2.4450467,1,9542.5488,72.419769,1,2.43838,0,2.7916958,2.44838,2.4350467,0,-0.34101993,100.21635,1,0.039222546,7.6027284,0,2.4317133
2.4505923,-9.4750414,9.1453238,0,1,-10.199334,1,0,19.435879,-100.39527,99.999977,97.495934,1,1,2.4417133,355.17389,100.39288,6.3483944,145.29115,0.061314251,-87.721741,2.4450467,1,9542.5488,68.285866,1,2.43838,0,2.1390448,2.44838,2.4350467,0,0.32971734,100.39561,1,0.059285268,8.0602894,0,2.4317133
2.4507923,-9.7672777,8.7678871,0,1,-9.9612265,1,0,25.462158,-100.53448,99.999977,97.495934,1,1,2.4417133,355.20297,100.53218,8.4170561,145.29155,0.081655286,-89.370728,2.4450467,1,9542.5488,63.908573,1,2.43838,0,1.4777436,2.44838,2.4350467,0,0.9993909,100.53493,1,0.079380073,8.4834824,0,2.4317133
2.4509923,-10.01872,8.3535986,0,1,-9.6814737,1,0,31.334921,-100.62067,99.999977,97.495934,1,1,2.4417133,355.23203,100.61847,10.421794,145.29204,0.10167948,-90.637413,2.4450467,1,9542.5488,59.302494,1,2.43838,0,0.810637,2.44838,2.4350467,0,1.6651212,100.62122,1,0.099497698,8.8708372,0,2.4317133
2.4511921,-10.228586,7.9045029,0,1,-9.3615608,1,0,37.037663,-100.64101,99.999977,97.495934,1,1,2.4417133,355.26108,100.63892,12.348358,145.29257,0.12130924,-91.521141,2.4450467,1,9542.5488,54.483479,1,2.43838,0,0.14055711,2.44838,2.4350467,0,2.3240833,100.64168,1,0.11962622,9.2210035,0,2.4317133
2.4513922,-10.396243,7.422729,0,1,-9.0030794,1,0,42.553783,-100.58295,99.999977,97.495934,1,1,2.4417133,355.29013,100.58098,14.183733,145.29311,0.14046857,-92.022263,2.4450467,1,9542.5488,49.468479,1,2.43838,0,-0.52968383,2.44838,2.4350467,0,2.9735141,100.58372,1,0.1397512,9.5327635,0,2.4317133
2.4515922,-10.521201,6.9104857,0,1,-8.6077328,1,0,47.866707,-100.43428,99.999977,97.495934,1,1,2.4417133,355.31921,100.43243,15.91629,145.29353,0.15908326,-92.142181,2.4450467,1,9542.5488,44.275475,1,2.43838,0,-1.1972998,2.44838,2.4350467,0,3.6107154,100.43515,1,0.15985572,9.8050327,0,2.4317133
2.4516625,-10.554842,6.7240577,0,1,-8.4606934,1,0,49.678677,-100.35847,99.999977,97.495934,1,1,2.4417133,355.32941,100.35667,16.497602,145.29366,0.16546866,-92.094383,2.4450467,1,9542.5488,42.415707,1,2.43838,0,-1.4302865,2.44838,2.4350467,0,3.8307846,100.35938,1,0.16689765,9.8909798,0,2.4317133
2.4517133,-10.575961,6.586473,0,1,-8.3511896,1,0,50.978004,-100.29519,99.999977,97.495934,1,1,2.4417133,355.33679,100.29341,16.911074,145.29372,0.17005928,-92.03051,2.4450467,1,9542.5488,41.052509,1,2.43838,0,-1.599104,2.44838,2.4350467,0,3.9894879,100.29612,1,0.17201111,9.9502935,0,2.4317133
2.4517133,-10.575961,6.586473,0,1,-8.3511896,1,0,50.978004,-100.29519,99.999977,97.495934,1,1,2.4417133,355.33679,100.29341,16.911074,145.29372,0.17005928,-92.03051,2.4450467,1,9542.5488,41.052509,1,2.43838,0,-1.599104,2.44838,2.4350467,0,3.9894879,100.29612,0,0.17201111,9.9502935,0,2.4517133
2.4517133,-10.575961,6.586473,0,1,-8.3511896,1,0,50.978004,-100.29519,99.999977,97.495934,1,1,2.4417133,355.33679,100.29341,16.911074,145.29372,0.17005928,-92.03051,2.4450467,1,9542.5488,41.052509,1,2.43838,0,-1.599104,2.44838,2.4350467,0,3.9894879,100.29612,0,0.17201111,9.9502935,0,2.4517133
2.4517133,-10.575961,6.586473,0,1,-8.3511896,0,0,50.978004,-100.29519,99.999977,97.495934,1,1,2.4417133,355.33679,100.29341,16.911074,145.29372,0.17005928,-92.03051,2.4450467,1,9542.5488,41.052509,1,2.43838,1,-1.599104,2.44838,2.4350467,0,3.9894879,100.29612,0,0.17201111,9.9502935,0,2.4517133
2.4517922,-10.603302,6.370153,0,1,-8.1774206,0,0,52.887009,-98.514267,99.999977,97.495934,1,1,2.4417133,355.34827,100.20052,17.556545,145.29381,0.17719588,-91.953918,2.4450467,1,9542.5488,39.06691,1,2.43838,1,-1.8596247,2.44838,2.4350467,0,4.2331495,100.20323,0,0.17992112,10.037045,0,2.4517133
2.4519923,-10.645808,5.8058395,0,1,-7.7158198,0,0,57.298241,-87.439384,99.999977,97.495934,1,1,2.4417133,355.37732,99.958549,19.185419,145.29387,0.1952458,-91.751556,2.4450467,1,9542.5488,34.45332,1,2.43838,1,-2.5156541,2.44838,2.4350467,0,4.8399692,99.96125,0,0.1999388,10.231474,0,2.4517133
2.4521923,-10.65381,5.2225761,0,1,-7.227592,0,0,61.120609,-67.033363,99.999977,97.495934,1,1,2.4417133,355.40637,99.69796,20.793749,145.29373,0.21318148,-91.505226,2.4450467,1,9542.5488,30.384613,1,2.43838,1,-3.1652875,2.44838,2.4350467,0,5.4312334,99.700638,0,0.2199064,10.392879,0,2.4517133
2.4523923,-10.631749,4.6250496,0,1,-6.7171216,0,0,64.382545,-37.428246,99.999977,97.495934,1,1,2.4417133,355.43546,99.407173,22.369263,145.29335,0.23093319,-91.178871,2.4450467,1,9542.5488,26.79632,1,2.43838,1,-3.8081191,2.44838,2.4350467,0,6.0066991,99.409813,0,0.23981906,10.525241,0,2.4517133
2.4525867,-10.585217,4.0348363,0,1,-6.2036457,0,0,67.039909,-0.00086759269,99.999977,97.495934,1,1,2.4417133,355.46368,99.08477,23.85784,145.29274,0.24794362,-90.75528,2.4450467,1,9542.5488,23.715372,1,2.43838,1,-4.4257307,2.44838,2.4350467,0,6.5503807,99.087372,0,0.259112,10.629376,0,2.4517133
2.4525867,-10.585217,4.0348363,0,1,-6.2036457,0,1,67.039909,-0.00086759269,99.999977,97.495934,1,1,2.4417133,355.46368,99.08477,23.85784,145.29274,0.24794362,-90.75528,2.4450467,1,9542.5488,23.715372,1,2.43838,1,-4.4257307,2.44838,2.4350467,0,6.5503807,99.087372,0,0.259112,10.629376,0,2.4517133
2.4525924,-10.583518,4.0176411,0,1,-6.1885538,0,1,67.160934,-0.00041842088,99.999977,97.495934,1,1,2.4417133,355.46451,99.088425,23.915642,145.29271,0.24851397,-90.687897,2.4450467,1,9542.5488,23.526966,1,2.43838,1,-4.4434905,2.44838,2.4350467,0,6.5658765,99.091164,0,0.25966966,10.632045,0,2.4517133
2.4527924,-10.497897,3.3972764,0,1,-5.6386003,0,1,71.28212,-0.00030676887,99.999977,97.495934,1,1,2.4417133,355.49356,99.241417,25.998405,145.29201,0.26892424,-88.139091,2.4450467,1,9542.5488,16.856968,1,2.43838,1,-5.0630422,2.44838,2.4350467,0,7.1006203,99.244133,0,0.27950352,10.701643,0,2.4517133
2.4529924,-10.363861,2.7609005,0,1,-5.0639272,0,1,75.044662,-0.00019390599,99.999977,97.495934,1,1,2.4417133,355.52261,99.430374,28.125759,145.29143,0.28955197,-85.292213,2.4450467,1,9542.5488,10.247545,1,2.43838,1,-5.6584268,2.44838,2.4350467,0,7.6029606,99.43306,0,0.29937175,10.722354,0,2.4517133
2.4531925,-10.182926,2.1116011,0,1,-4.4673395,0,1,78.443466,-8.0277721e-05,99.999977,97.495934,1,1,2.4417133,355.5517,99.641891,30.281527,145.29105,0.31031704,-82.152901,2.4450467,1,9542.5488,3.7094352,1,2.43838,1,-6.2276487,2.44838,2.4350467,0,8.0713243,99.644539,0,0.31928021,10.694988,0,2.4517133
2.4533334,-10.028143,1.6480204,0,1,-4.0353703,0,1,80.617226,-1.1874495e-09,99.999977,97.495934,1,1,2.4417133,355.57217,99.797195,31.80851,145.29088,0.32498646,-79.769417,2.4450467,1,9542.5488,-0.84780931,1,2.43838,1,-6.6119566,2.44838,2.4350467,0,8.3801231,99.799797,0,0.33333325,10.647327,0,2.4517133
2.4533334,-10.028143,1.6480204,0,1,-4.0353703,0,1,80.617226,-1.1874495e-09,99.999977,97.495941,1,1,2.4417133,355.57217,99.797195,0,145.29088,0,-79.769417,2.4450467,1,9542.5527,-0.84780931,1,2.43838,1,-6.6119566,2.44838,2.4350467,0,8.3801231,99.799797,0,0,10.647327,0,2.4517133
2.4533925,-9.9566908,1.4524431,0,1,-3.8516676,0,1,81.473892,3.3667417e-05,99.999977,97.495941,1,1,2.4417133,355.58075,99.862518,0.64058644,145.29083,0.006152398,-78.728691,2.4450467,1,9542.5527,-2.7452071,1,2.43838,1,-6.7687898,2.44838,2.4350467,0,8.5042477,99.865105,0,0.0058989073,10.620458,0,2.4517133
2.4535925,-9.6868219,0.78645384,0,1,-3.2197495,0,1,84.131767,0.00014747967,99.999977,97.495941,1,1,2.4417133,355.6098,100.07879,2.8031678,145.2908,0.026950233,-75.02887,2.4450467,1,9542.5527,-9.1028996,1,2.43838,1,-7.2800136,2.44838,2.4350467,0,8.9003677,100.08131,0,0.025894785,10.499763,0,2.4517133
2.4537926,-9.3750639,0.11662813,0,1,-2.5744333,0,1,86.413452,0.00026070981,99.999977,97.495941,1,1,2.4417133,355.63885,100.27726,4.9440498,145.29095,0.047643397,-71.064346,2.4450467,1,9542.5527,-15.349108,1,2.43838,1,-7.7595696,2.44838,2.4350467,0,9.2584362,100.2797,0,0.045932308,10.334002,0,2.4517133
2.4539924,-9.0232382,-0.55407643,0,1,-1.9185708,0,1,88.315979,0.00037291087,99.999977,97.495941,1,1,2.4417133,355.66794,100.4446,7.0468502,145.29126,0.068151608,-66.847443,2.4450467,1,9542.5527,-21.468534,1,2.43838,1,-8.205801,2.44838,2.4350467,0,9.5773144,100.44695,0,0.066006631,10.124372,0,2.4517133
2.4541924,-8.6332474,-1.2227483,0,1,-1.255011,0,1,89.837173,0.00048363997,99.999977,97.495941,1,1,2.4417133,355.69699,100.5676,9.0957842,145.2917,0.088395342,-62.391907,2.4450467,1,9542.5527,-27.445271,1,2.43838,1,-8.6171598,2.44838,2.4350467,0,9.8559961,100.56986,0,0.086110227,9.8721714,0,2.4517133
2.4543924,-8.2070799,-1.8865252,0,1,-0.58659512,0,1,90.975739,0.0005924601,99.999977,97.495941,1,1,2.4417133,355.72604,100.63327,11.075899,145.29222,0.10829612,-57.712749,2.4450467,1,9542.5527,-33.262989,1,2.43838,1,-8.9922142,2.44838,2.4350467,0,10.093605,100.63544,0,0.10623295,9.5788097,0,2.4517133
2.4545925,-7.7468085,-2.5426021,0,1,0.083850279,0,1,91.731346,0.0006989417,99.999977,97.495941,1,1,2.4417133,355.75513,100.62887,12.97333,145.29276,0.12777683,-52.82621,2.4450467,1,9542.5527,-38.90514,1,2.43838,1,-9.3296576,2.44838,2.4350467,0,10.289411,100.63092,0,0.12636201,9.2458067,0,2.4517133
2.4547925,-7.2545891,-3.1882365,0,1,0.75352079,0,1,92.104698,0.00080266444,99.999977,97.495941,1,1,2.4417133,355.78418,100.54195,14.775501,145.29326,0.14676204,-47.749596,2.4450467,1,9542.5527,-44.355099,1,2.43838,1,-9.628315,2.44838,2.4350467,0,10.442825,100.54388,0,0.14648215,8.874794,0,2.4517133
2.4549925,-6.7326565,-3.8207552,0,1,1.4196414,0,1,92.097549,0.00090321893,99.999977,97.495941,1,1,2.4417133,355.81323,100.3604,16.47131,145.29366,0.16517825,-42.501202,2.4450467,1,9542.5527,-49.596352,1,2.43838,1,-9.8871508,2.44838,2.4350467,0,10.553412,100.36222,0,0.16657564,8.4675102,0,2.4517133
