"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","rectifier.pre_p[2].u","rectifier.pre_n[1].u","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre_p[1].u","meanCurrent.x","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[2].off"
4.9499998,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.334414,0,0,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0,0,1
4.9501963,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.358043,3.1881406,0.024986805,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.0026165412,0,1
4.9503961,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.379058,5.7211585,0.047477573,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.00529041,0,1
4.9505959,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.396876,7.6015759,0.066849381,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.0079681631,0,1
4.9507961,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.411435,8.9142456,0.083025768,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.010649156,0,1
4.9509959,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.422683,9.7529736,0.095942892,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.013332729,0,1
4.9511962,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.430582,10.21904,0.10554978,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.016018217,0,1
4.951396,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.435108,10.419601,0.1118085,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.018704949,0,1
4.9515963,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.436251,10.466002,0.11469436,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.021392249,0,1
4.9516668,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.435845,10.466842,0.11490507,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.022340329,0,1
4.9516668,4.9316669,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.435845,10.466842,0.11490507,1,6294.9678,0,0,4.9483333,1,4.9349999,1,0.02234035,0,1
4.9516668,4.9516668,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.435845,10.466842,0.11490507,1,6294.9678,0,0,4.9483333,1,4.9349999,0,0.02234035,0,1
4.9517961,4.9516668,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.434011,10.47204,0.11419596,1,6294.9678,0,0,4.9483333,1,4.9349999,0,0.024079436,0,1
4.9519963,4.9516668,0,1,0,13.41082,4.0453215,0,1,4.9450002,4.9383335,4.9416666,13.428404,10.552075,0.11031533,1,6294.9678,0,0,4.9483333,1,4.9349999,0,0.02676584,0,1
