"Time","rootMeanSquareVoltage.mean.y","rectifier.thyristor_p.off","pulse2.twoPulse.timerPositive[1].entryTime","inductor.i","meanCurrent.x","meanVoltage.y","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","rectifier.thyristor_n.off"
4.9499998,12099.99,0,4.9400001,6.335196,0,1.7127008,0,0,4.9499998,6.1631565,1
4.9501963,12099.99,0,4.9400001,6.3329468,0.0012418085,1.7127008,0.0059946785,-0.00093889592,4.9499998,6.1631565,1
4.9503961,12099.99,0,4.9400001,6.3287334,0.0025080589,1.7127008,0.049307596,-0.0038280752,4.9499998,6.1631565,1
4.9505959,12099.99,0,4.9400001,6.3226018,0.0037732741,1.7127008,0.16742589,-0.0086565353,4.9499998,6.1631565,1
4.9507961,12099.99,0,4.9400001,6.3145781,0.0050370735,1.7127008,0.39665592,-0.01540521,4.9499998,6.1631565,1
4.9509959,12099.99,0,4.9400001,6.3046966,0.0062990817,1.7127008,0.7715525,-0.024047462,4.9499998,6.1631565,1
4.9511962,12099.99,0,4.9400001,6.2929988,0.0075589307,1.7127008,1.3243726,-0.034549184,4.9499998,6.1631565,1
4.951396,12099.99,0,4.9400001,6.2795334,0.0088162627,1.7127008,2.0845656,-0.046868924,4.9499998,6.1631565,1
4.9515963,12099.99,0,4.9400001,6.2643557,0.010070729,1.7127008,3.0783114,-0.060958061,4.9499998,6.1631565,1
4.9517961,12099.99,0,4.9400001,6.2475286,0.011321994,1.7127008,4.3281059,-0.076760985,4.9499998,6.1631565,1
4.9519963,12099.99,0,4.9400001,6.2291203,0.012569735,1.7127008,5.8524075,-0.094215326,4.9499998,6.1631565,1
4.9521961,12099.99,0,4.9400001,6.2092061,0.013813641,1.7127008,7.6653433,-0.11325219,4.9499998,6.1631565,1
4.9523959,12099.99,0,4.9400001,6.1878672,0.01505342,1.7127008,9.7764912,-0.13379645,4.9499998,6.1631565,1
4.9525962,12099.99,0,4.9400001,6.1651902,0.016288796,1.7127008,12.190722,-0.15576701,4.9499998,6.1631565,1
4.952796,12099.99,0,4.9400001,6.1412668,0.017519511,1.7127008,14.90813,-0.17907716,4.9499998,6.1631565,1
4.9529963,12099.99,0,4.9400001,6.1161938,0.018745324,1.7127008,17.924025,-0.20363492,4.9499998,6.1631565,1
4.953196,12099.99,0,4.9400001,6.0900722,0.019966016,1.7127008,21.22901,-0.22934331,4.9499998,6.1631565,1
4.9533963,12099.99,0,4.9400001,6.0630083,0.021181386,1.7127008,24.80913,-0.25610092,4.9499998,6.1631565,1
4.9535961,12099.99,0,4.9400001,6.0351105,0.02239126,1.7127008,28.646088,-0.28380212,4.9499998,6.1631565,1
4.9537964,12099.99,0,4.9400001,6.0064917,0.023595478,1.7127008,32.717537,-0.31233755,4.9499998,6.1631565,1
4.9539962,12099.99,0,4.9400001,5.9772668,0.02479391,1.7127008,36.997433,-0.34159464,4.9499998,6.1631565,1
4.954196,12099.99,0,4.9400001,5.9475541,0.025986446,1.7127008,41.456448,-0.37145784,4.9499998,6.1631565,1
4.9543962,12099.99,0,4.9400001,5.9174724,0.027173001,1.7127008,46.062416,-0.40180936,4.9499998,6.1631565,1
4.954596,12099.99,0,4.9400001,5.8871431,0.028353512,1.7127008,50.780869,-0.43252939,4.9499998,6.1631565,1
4.9547963,12099.99,0,4.9400001,5.856688,0.029527944,1.7127008,55.575569,-0.46349669,4.9499998,6.1631565,1
4.9549551,12099.99,0,4.9400001,5.8325109,0.03045563,1.7127008,59.41008,-0.48816714,4.9499998,6.1631565,1
4.9549551,12099.99,1,4.9400001,5.8325109,0.03045563,1.7127008,59.41008,-0.48816714,4.9499998,6.1631565,0
4.9549961,12099.99,1,4.9400001,5.8390684,0.030696547,1.7127008,60.409031,-0.48174536,4.9499998,6.1631565,0
4.9551964,12099.99,1,4.9400001,5.8707395,0.031867705,1.7127008,65.242897,-0.45065179,4.9499998,6.1631565,0
4.9553962,12099.99,1,4.9400001,5.9021678,0.033045046,1.7127008,70.039696,-0.41967767,4.9499998,6.1631565,0
4.9555964,12099.99,1,4.9400001,5.9332285,0.034228638,1.7127008,74.761726,-0.38894609,4.9499998,6.1631565,0
4.9557962,12099.99,1,4.9400001,5.9638019,0.035418399,1.7127008,79.372612,-0.3585785,4.9499998,6.1631565,0
4.9559965,12099.99,1,4.9400001,5.9937701,0.036614213,1.7127008,83.837776,-0.32869476,4.9499998,6.1631565,0
4.9561963,12099.99,1,4.9400001,6.0230184,0.037815955,1.7127008,88.124977,-0.29941279,4.9499998,6.1631565,0
4.9563961,12099.99,1,4.9400001,6.051434,0.039023459,1.7127008,92.204781,-0.27084813,4.9499998,6.1631565,0
4.9565964,12099.99,1,4.9400001,6.0789075,0.040236559,1.7127008,96.051033,-0.24311352,4.9499998,6.1631565,0
4.9567962,12099.99,1,4.9400001,6.1053338,0.041455049,1.7127008,99.641205,-0.21631846,4.9499998,6.1631565,0
4.9569964,12099.99,1,4.9400001,6.1306109,0.042678714,1.7127008,102.95685,-0.19056869,4.9499998,6.1631565,0
4.9571962,12099.99,1,4.9400001,6.1546431,0.043907307,1.7127008,105.98383,-0.16596586,4.9499998,6.1631565,0
4.9573965,12099.99,1,4.9400001,6.1773372,0.045140579,1.7127008,108.71259,-0.14260708,4.9499998,6.1631565,0
4.9575963,12099.99,1,4.9400001,6.1986074,0.046378247,1.7127008,111.13824,-0.12058453,4.9499998,6.1631565,0
4.9577966,12099.99,1,4.9400001,6.2183723,0.047620021,1.7127008,113.2607,-0.099985152,4.9499998,6.1631565,0
4.9579964,12099.99,1,4.9400001,6.236557,0.04886559,1.7127008,115.08468,-0.080890216,4.9499998,6.1631565,0
4.9581962,12099.99,1,4.9400001,6.2530918,0.050114632,1.7127008,116.61958,-0.063375078,4.9499998,6.1631565,0
4.9583964,12099.99,1,4.9400001,6.2679157,0.05136681,1.7127008,117.87936,-0.047508884,4.9499998,6.1631565,0
4.9585962,12099.99,1,4.9400001,6.280972,0.052621778,1.7127008,118.88232,-0.033354249,4.9499998,6.1631565,0
4.9587965,12099.99,1,4.9400001,6.292212,0.053879179,1.7127008,119.65083,-0.020967048,4.9499998,6.1631565,0
4.9589963,12099.99,1,4.9400001,6.3015947,0.05513864,1.7127008,120.21091,-0.010396166,4.9499998,6.1631565,0
4.9591966,12099.99,1,4.9400001,6.3090854,0.056399789,1.7127008,120.59191,-0.0016833262,4.9499998,6.1631565,0
4.9593964,12099.99,1,4.9400001,6.3146577,0.057662245,1.7127008,120.82599,0.005137085,4.9499998,6.1631565,0
