"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","meanCurrent.x","rectifier.thyristor_n.idealThyristor[2].off"
4.9499998,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.255518,0,0,2098.6648,4.9499998,1,4.9366665,0,1
4.9501963,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.253581,0.0059947846,-0.00093890599,2098.6648,4.9499998,1,4.9366665,0.0025985502,1
4.9503961,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.249684,0.049307544,-0.0038281002,2098.6648,4.9499998,1,4.9366665,0.0052490137,1
4.9505959,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.243868,0.16742584,-0.0086565753,2098.6648,4.9499998,1,4.9366665,0.0078985058,1
4.9507961,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.236158,0.39665651,-0.015405263,2098.6648,4.9499998,1,4.9366665,0.010546644,1
4.9509959,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.22659,0.77155471,-0.024047531,2098.6648,4.9499998,1,4.9366665,0.013193055,1
4.9511962,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.215204,1.3243765,-0.034549266,2098.6648,4.9499998,1,4.9366665,0.015837369,1
4.951396,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.202049,2.0845711,-0.046869021,2098.6648,4.9499998,1,4.9366665,0.018479228,1
4.9515963,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.187181,3.0783184,-0.060958173,2098.6648,4.9499998,1,4.9366665,0.021118283,1
4.9516182,4.9333334,1,1,13.237127,2.4134142,0,1,4.9466667,4.9400001,4.9433331,13.18543,3.2039318,-0.062627405,2098.6648,4.9499998,1,4.9366665,0.021410784,1
