"Time","dcpm.inertiaRotor.phi","hbridge.vDC1","inductor.i","hbridge.vDC2","hbridge.iDC1","dcpm.inertiaRotor.w","meanCurrent.y","meanVoltage.y","hbridge.iDC2"
4,54.187878,120,26.721394,-0.00053442788,0.0048000002,110.86301,26.718739,71.927467,-26.721394
4.0001001,54.198967,120,25.523264,-0.0005104653,0.0048000002,110.87409,26.718739,71.927467,-25.523264
4.0001001,54.198967,120,25.523264,119.99949,25.528065,110.87409,26.718739,71.927467,-25.523264
4.000195,54.209515,120,26.28616,119.99947,26.29096,110.88455,26.718739,71.927467,-26.28616
4.0003953,54.231693,120,27.887787,119.99944,27.892586,110.90755,26.718739,71.927467,-27.887787
4.0004001,54.232235,120,27.926655,119.99944,27.931456,110.90812,26.718739,71.927467,-27.926655
4.0004001,54.232235,120,27.926655,-0.00055853312,0.0048000002,110.90812,26.718739,71.927467,-27.926655
4.0005002,54.243324,120,26.727039,-0.0005345408,0.0048000002,110.91972,26.718739,71.927467,-26.727039
4.0005002,54.243324,120,26.727039,-0.0005345408,0.0048000002,110.91972,26.718739,71.927467,-26.727039
4.0005951,54.25388,120,25.586411,-0.00051172823,0.0048000002,110.93028,26.718739,71.927467,-25.586411
4.0005999,54.254417,120,25.528305,-0.00051056611,0.0048000002,110.93081,26.718739,71.927467,-25.528305
4.0005999,54.254417,120,25.528305,119.99949,25.533104,110.93081,26.718739,71.927467,-25.528305
4.0007954,54.27607,120,27.091423,119.99946,27.096222,110.9526,26.718739,71.927467,-27.091423
4.0008998,54.287701,120,27.92988,119.99944,27.934679,110.96484,26.718739,71.927467,-27.92988
4.0008998,54.287701,120,27.92988,-0.00055859762,0.0048000002,110.96484,26.718739,71.927467,-27.92988
4.0009952,54.298264,120,26.787605,-0.0005357521,0.0048000002,110.97589,26.718739,71.927467,-26.787605
4.0009999,54.298798,120,26.72966,-0.00053459319,0.0048000002,110.97644,26.718739,71.927467,-26.72966
4.0009999,54.298798,120,26.72966,-0.00053459319,0.0048000002,110.97644,26.727057,71.999466,-26.72966
4.0011001,54.309898,120,25.530321,-0.00051060645,0.0048000002,110.98753,26.727057,71.999466,-25.530321
4.0011001,54.309898,120,25.530321,119.99949,25.535122,110.98753,26.727057,71.999466,-25.530321
4.001195,54.320461,120,26.292458,119.99947,26.297256,110.99799,26.727057,71.999466,-26.292458
4.0013952,54.342663,120,27.891668,119.99944,27.896469,111.021,26.727057,71.999466,-27.891668
4.0014,54.343197,120,27.930088,119.99944,27.934889,111.02156,26.727057,71.999466,-27.930088
4.0014,54.343197,120,27.930088,-0.00055860175,0.0048000002,111.02156,26.727057,71.999466,-27.930088
4.0015001,54.354301,120,26.729267,-0.00053458533,0.0048000002,111.03316,26.727057,71.999466,-26.729267
4.0015001,54.354301,120,26.729267,-0.00053458533,0.0048000002,111.03316,26.727057,71.999466,-26.729267
4.001595,54.364872,120,25.586906,-0.00051173812,0.0048000002,111.04373,26.727057,71.999466,-25.586906
4.0015998,54.365406,120,25.529327,-0.00051058654,0.0048000002,111.04425,26.727057,71.999466,-25.529327
4.0015998,54.365406,120,25.529327,119.99949,25.534126,111.04425,26.727057,71.999466,-25.529327
4.0017953,54.387085,120,27.090487,119.99946,27.095285,111.06605,26.727057,71.999466,-27.090487
4.0019002,54.398724,120,27.927294,119.99944,27.932093,111.07829,26.727057,71.999466,-27.927294
4.0019002,54.398724,120,27.927294,-0.00055854587,0.0048000002,111.07829,26.727057,71.999466,-27.927294
4.0019951,54.409302,120,26.783289,-0.00053566578,0.0048000002,111.08934,26.727057,71.999466,-26.783289
4.0019999,54.409832,120,26.725872,-0.00053451746,0.0048000002,111.08988,26.727057,71.999466,-26.725872
4.0019999,54.409832,120,26.725872,-0.00053451746,0.0048000002,111.08988,26.72929,71.999466,-26.725872
4.0021,54.42094,120,25.525333,-0.00051050668,0.0048000002,111.10097,26.72929,71.999466,-25.525333
4.0021,54.42094,120,25.525333,119.99949,25.530134,111.10097,26.72929,71.999466,-25.525333
4.0021954,54.431522,120,26.286718,119.99947,26.291517,111.11144,26.72929,71.999466,-26.286718
4.0023952,54.453747,120,27.883533,119.99944,27.888332,111.13443,26.72929,71.999466,-27.883533
4.0023999,54.454277,120,27.921507,119.99944,27.926306,111.13499,26.72929,71.999466,-27.921507
4.0023999,54.454277,120,27.921507,-0.00055843015,0.0048000002,111.13499,26.72929,71.999466,-27.921507
4.0025001,54.465389,120,26.71949,-0.00053438981,0.0048000002,111.14659,26.72929,71.999466,-26.71949
4.0025001,54.465389,120,26.71949,-0.00053438981,0.0048000002,111.14659,26.72929,71.999466,-26.71949
4.0025954,54.475979,120,25.575405,-0.00051150809,0.0048000002,111.15716,26.72929,71.999466,-25.575405
4.0026002,54.476505,120,25.518354,-0.0005103671,0.0048000002,111.15768,26.72929,71.999466,-25.518354
4.0026002,54.476505,120,25.518354,119.99949,25.523155,111.15768,26.72929,71.999466,-25.518354
4.0027952,54.498211,120,27.077574,119.99946,27.082373,111.17947,26.72929,71.999466,-27.077574
4.0029001,54.509857,120,27.912743,119.99944,27.917542,111.19169,26.72929,71.999466,-27.912743
4.0029001,54.509857,120,27.912743,-0.00055825483,0.0048000002,111.19169,26.72929,71.999466,-27.912743
4.0029955,54.520451,120,26.767019,-0.00053534034,0.0048000002,111.20274,26.72929,71.999466,-26.767019
4.0029998,54.520977,120,26.710131,-0.00053420261,0.0048000002,111.20329,26.72929,71.999466,-26.710131
4.0029998,54.520977,120,26.710131,-0.00053420261,0.0048000002,111.20329,26.719517,71.999466,-26.710131
4.0030999,54.532097,120,25.508402,-0.00051016803,0.0048000002,111.21436,26.719517,71.999466,-25.508402
4.0030999,54.532097,120,25.508402,119.99949,25.513203,111.21436,26.719517,71.999466,-25.508402
4.0031953,54.542694,120,26.269045,119.99947,26.273844,111.22483,26.719517,71.999466,-26.269045
4.0033951,54.564945,120,27.863485,119.99944,27.868284,111.24781,26.719517,71.999466,-27.863485
4.0033998,54.565468,120,27.901014,119.99944,27.905813,111.24837,26.719517,71.999466,-27.901014
4.0033998,54.565468,120,27.901014,-0.00055802026,0.0048000002,111.24837,26.719517,71.999466,-27.901014
4.0035,54.576591,120,26.697811,-0.00053395622,0.0048000002,111.25995,26.719517,71.999466,-26.697811
4.0035,54.576591,120,26.697811,-0.00053395622,0.0048000002,111.25995,26.719517,71.999466,-26.697811
4.0035954,54.587196,120,25.552013,-0.00051104027,0.0048000002,111.27052,26.719517,71.999466,-25.552013
4.0036001,54.587719,120,25.495491,-0.00050990982,0.0048000002,111.27103,26.719517,71.999466,-25.495491
4.0036001,54.587719,120,25.495491,119.99949,25.500292,111.27103,26.719517,71.999466,-25.495491
4.0037951,54.609455,120,27.05279,119.99946,27.05759,111.29281,26.719517,71.999466,-27.05279
4.0039001,54.621105,120,27.886333,119.99944,27.891134,111.30502,26.719517,71.999466,-27.886333
4.0039001,54.621105,120,27.886333,-0.00055772666,0.0048000002,111.30502,26.719517,71.999466,-27.886333
4.0039954,54.631718,120,26.738899,-0.000534778,0.0048000002,111.31606,26.719517,71.999466,-26.738899
4.0040002,54.632236,120,26.682543,-0.00053365086,0.0048000002,111.31659,26.719517,71.999466,-26.682543
4.0040002,54.632236,120,26.682543,-0.00053365086,0.0048000002,111.31659,26.697844,71.999466,-26.682543
4.0040998,54.643368,120,25.479635,-0.0005095927,0.0048000002,111.32766,26.697844,71.999466,-25.479635
4.0040998,54.643368,120,25.479635,119.99949,25.484436,111.32766,26.697844,71.999466,-25.479635
4.0041952,54.653984,120,26.239544,119.99947,26.244345,111.33812,26.697844,71.999466,-26.239544
4.0043955,54.676254,120,27.831633,119.99944,27.836432,111.36108,26.697844,71.999466,-27.831633
4.0043998,54.676773,120,27.868717,119.99944,27.873516,111.36163,26.697844,71.999466,-27.868717
4.0043998,54.676773,120,27.868717,-0.00055737433,0.0048000002,111.36163,26.697844,71.999466,-27.868717
4.0044999,54.687908,120,26.664341,-0.00053328683,0.0048000002,111.3732,26.697844,71.999466,-26.664341
4.0044999,54.687908,120,26.664341,-0.00053328683,0.0048000002,111.3732,26.697844,71.999466,-26.664341
4.0045953,54.698528,120,25.516838,-0.00051033677,0.0048000002,111.38375,26.697844,71.999466,-25.516838
4.0046,54.699047,120,25.460848,-0.00050921697,0.0048000002,111.38425,26.697844,71.999466,-25.460848
4.0046,54.699047,120,25.460848,119.99949,25.465649,111.38425,26.697844,71.999466,-25.460848
4.0047956,54.72081,120,27.016247,119.99946,27.021046,111.40601,26.697844,71.999466,-27.016247
4.0049,54.732468,120,27.848177,119.99944,27.852978,111.4182,26.697844,71.999466,-27.848177
4.0049,54.732468,120,27.848177,-0.00055696355,0.0048000002,111.4182,26.697844,71.999466,-27.848177
4.0049953,54.743095,120,26.699041,-0.00053398084,0.0048000002,111.42924,26.697844,71.999466,-26.699041
4.0050001,54.74361,120,26.643219,-0.00053286436,0.0048000002,111.42976,26.697844,71.999466,-26.643219
4.0050001,54.74361,120,26.643219,-0.00053286436,0.0048000002,111.42976,26.664377,71.999466,-26.643219
4.0050998,54.754753,120,25.439144,-0.00050878286,0.0048000002,111.44081,26.664377,71.999466,-25.439144
4.0050998,54.754753,120,25.439144,119.99949,25.443943,111.44081,26.664377,71.999466,-25.439144
4.0051951,54.765385,120,26.198328,119.99947,26.203129,111.45126,26.664377,71.999466,-26.198328
4.0053954,54.787678,120,27.788086,119.99944,27.792887,111.47417,26.664377,71.999466,-27.788086
4.0054002,54.788193,120,27.82473,119.99944,27.829529,111.47472,26.664377,71.999466,-27.82473
4.0054002,54.788193,120,27.82473,-0.00055649457,0.0048000002,111.47472,26.664377,71.999466,-27.82473
4.0054998,54.799339,120,26.61919,-0.0005323838,0.0048000002,111.48627,26.664377,71.999466,-26.61919
4.0054998,54.799339,120,26.61919,-0.0005323838,0.0048000002,111.48627,26.664377,71.999466,-26.61919
4.0055952,54.809975,120,25.469992,-0.00050939986,0.0048000002,111.49682,26.664377,71.999466,-25.469992
4.0056,54.81049,120,25.414536,-0.00050829072,0.0048000002,111.49731,26.664377,71.999466,-25.414536
4.0056,54.81049,120,25.414536,119.99949,25.419336,111.49731,26.664377,71.999466,-25.414536
4.0057955,54.832279,120,26.968056,119.99946,26.972857,111.51904,26.664377,71.999466,-26.968056
4.0058999,54.843941,120,27.798388,119.99944,27.803188,111.53119,26.664377,71.999466,-27.798388
4.0058999,54.843941,120,27.798388,-0.00055596774,0.0048000002,111.53119,26.664377,71.999466,-27.798388
4.0059953,54.854584,120,26.64756,-0.00053295121,0.0048000002,111.54221,26.664377,71.999466,-26.64756
4.006,54.855095,120,26.592272,-0.00053184544,0.0048000002,111.54273,26.664377,71.999466,-26.592272
4.006,54.855095,120,26.592272,-0.00053184544,0.0048000002,111.54273,26.619232,71.999466,-26.592272
4.0061002,54.866253,120,25.387041,-0.00050774083,0.0048000002,111.55376,26.619232,71.999466,-25.387041
4.0061002,54.866253,120,25.387041,119.99949,25.391842,111.55376,26.619232,71.999466,-25.387041
4.0061955,54.876896,120,26.145514,119.99947,26.150312,111.5642,26.619232,71.999466,-26.145514
4.0063953,54.899212,120,27.732964,119.99944,27.737764,111.58707,26.619232,71.999466,-27.732964
4.0064001,54.899723,120,27.769169,119.99944,27.773968,111.58761,26.619232,71.999466,-27.769169
4.0064001,54.899723,120,27.769169,-0.00055538333,0.0048000002,111.58761,26.619232,71.999466,-27.769169
4.0064998,54.910881,120,26.562479,-0.00053124956,0.0048000002,111.59914,26.619232,71.999466,-26.562479
4.0064998,54.910881,120,26.562479,-0.00053124956,0.0048000002,111.59914,26.619232,71.999466,-26.562479
4.0065956,54.921532,120,25.411594,-0.00050823193,0.0048000002,111.60966,26.619232,71.999466,-25.411594
4.0065999,54.922043,120,25.356674,-0.00050713349,0.0048000002,111.61015,26.619232,71.999466,-25.356674
