"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
0,295003,715103.62,294924.5,3064302,294965.78,2964546,294925.66,805067.94
0.1,293763.91,2632357,293926.34,2738716,293763.56,2673007.2,293927.75,2697061.5
0.2,293690.19,2060351.5,293756.28,2088211.9,293690.47,2061559.6,293756.47,2087402.8
0.30000001,293664.78,1594640.5,293698.66,1588501,293665.06,1582881.6,293698.59,1601304.9
0.40000001,293653.06,1253295,293672.38,1230911.2,293653.31,1236210.8,293672.25,1249171.4
0.5,293646.69,1005246.2,293658.25,976224.19,293646.88,986635.69,293658.16,995867.38
0.60000002,293642.78,824606.44,293649.88,794321.75,293642.88,806515.38,293649.81,813199.88
0.69999999,293640.16,692609.12,293644.5,663932.5,293640.19,676066.31,293644.47,681006.06
0.80000001,293638.28,595842.12,293640.84,570141.62,293638.28,581273.31,293640.88,585016.88
0.89999998,293636.88,524647.62,293638.28,502411.66,293636.84,512130.88,293638.34,515056.88
1,293635.78,472082,293636.38,453305.31,293635.69,461506.72,293636.47,463878.38
1.1,293634.84,433105.28,293634.94,417522.09,293634.72,424267.84,293635.06,426268.19
1.2,293634.06,404063.47,293633.78,391295.16,293633.91,396726.72,293633.94,398484.78
1.3,293633.38,382299.31,293632.81,371933.47,293633.16,376224.84,293633,377830.53
1.4,293632.72,365864.44,293632,357503.12,293632.5,360830.59,293632.22,362347.25
1.5,293632.12,353346.78,293631.28,346630.25,293631.88,349157.69,293631.53,350629.56
1.6,293631.56,343707.53,293630.66,338321.94,293631.31,340194.91,293630.91,341652.47
1.7,293631.03,336187.06,293630.06,331868.28,293630.75,333210.09,293630.34,334675.16
1.8,293630.5,330235.81,293629.5,326764.91,293630.22,327678.81,293629.81,329165.75
1.9,293630,325440.81,293629,322638.41,293629.72,323209.62,293629.31,324727.81
2,293629.53,321506.12,293628.5,319229.41,293629.22,319525.47,293628.81,321082.03
2.0999999,293629.06,318214.94,293628.03,316348.72,293628.72,316425.03,293628.34,318023.19
2.2,293628.59,315401.34,293627.56,313854.91,293628.25,313754.97,293627.91,315397.03
2.3,293628.16,312950.72,293627.12,311653.38,293627.81,311410.94,293627.47,313098.5
2.4000001,293627.72,310777.06,293626.69,309672.69,293627.34,309315.38,293627.06,311047.91
2.5,293627.28,308810.38,293626.25,307855.72,293626.91,307404.38,293626.62,309182
2.5999999,293626.88,307008.97,293625.84,306170.5,293626.5,305641.78,293626.22,307463.56
2.7,293626.44,305335.81,293625.47,304587.44,293626.06,303994.38,293625.84,305859.25
2.8,293626.06,303761.66,293625.06,303082.94,293625.66,302435.97,293625.44,304342.69
2.9000001,293625.66,302270.75,293624.69,301646.91,293625.25,300953.28,293625.06,302901.25
3,293625.28,300847.22,293624.31,300265.66,293624.88,299532.41,293624.72,301519.56
3.0999999,293624.88,299477.44,293623.94,298928.91,293624.5,298160.94,293624.34,300186.25
3.2,293624.53,298155.94,293623.59,297634.03,293624.12,296834.62,293624,298897.44
3.3,293624.16,296875.69,293623.22,296374.19,293623.75,295547.44,293623.62,297645.5
3.4000001,293623.81,295629.47,293622.88,295144.62,293623.38,294292.47,293623.28,296425.28
3.5,293623.44,294414.66,293622.53,293942.94,293623.03,293067.94,293622.97,295233.91
3.5999999,293623.09,293230.28,293622.22,292769.78,293622.69,291873.12,293622.62,294071.47
3.7,293622.78,292069.34,293621.88,291617.25,293622.34,290701.41,293622.31,292929.94
3.8,293622.44,290932.59,293621.56,290488.56,293622,289553.53,293622,291812.44
3.9000001,293622.12,289818.97,293621.25,289381.53,293621.69,288429.06,293621.69,290716.25
4,293621.78,288724.22,293620.94,288292.31,293621.38,287323.72,293621.38,289637.59
4.0999999,293621.47,287648.41,293620.62,287222.41,293621.03,286237.47,293621.06,288577.91
4.1999998,293621.19,286592,293620.34,286171.66,293620.75,285171.38,293620.78,287536.62
4.3000002,293620.88,285551.66,293620.06,285136.19,293620.44,284122.25,293620.47,286509.78
4.4000001,293620.56,284525.41,293619.75,284115.56,293620.12,283088,293620.19,285497.03
4.5,293620.28,283515.12,293619.47,283111.78,293619.84,282070.62,293619.91,284499.94
4.5999999,293620,282518.75,293619.22,282121.91,293619.56,281068.69,293619.66,283515.38
4.6999998,293619.72,281533.56,293618.94,281144.25,293619.28,280079.25,293619.38,282541.66
4.8000002,293619.44,280560.84,293618.66,280180.66,293619,279103.78,293619.09,281580.34
4.9000001,293619.16,279599.5,293618.41,279229.12,293618.72,278141.88,293618.84,280628.94
5,293618.91,278645.41,293618.16,278286.19,293618.47,277189.22,293618.59,279684.19
5.0999999,293618.66,277699.84,293617.88,277354.56,293618.19,276247.16,293618.34,278748.56
5.1999998,293618.38,276763.56,293617.62,276433.53,293617.94,275317.38,293618.09,277820.41
5.3000002,293618.12,275830.06,293617.41,275516.41,293617.69,274393.44,293617.84,276893.28
5.4000001,293617.88,274899.28,293617.16,274606.31,293617.44,273474.66,293617.59,275970.53
5.5,293617.62,273976.03,293616.91,273705.97,293617.19,272567.34,293617.38,275053.44
5.5999999,293617.41,273050.16,293616.69,272803.41,293616.94,271661.5,293617.12,274130.22
5.6999998,293617.16,272121.5,293616.44,271904.25,293616.69,270756.03,293616.91,273207.12
5.8000002,293616.94,271195.31,293616.22,271009.62,293616.47,269857.56,293616.69,272283.84
5.9000001,293616.69,270261.91,293616,270109.97,293616.25,268956.5,293616.44,271350.88
6,293616.47,269321.88,293615.78,269208.78,293616,268053.19,293616.22,270412.19
6.0999999,293616.25,268376.31,293615.56,268305.09,293615.78,267149.03,293616.03,269466.12
6.1999998,293616.03,267421,293615.34,267394.97,293615.56,266240.25,293615.81,268508.34
6.3000002,293615.81,266454,293615.16,266476.88,293615.34,265324.91,293615.59,267537.84
6.4000001,293615.59,265474.72,293614.94,265550.69,293615.16,264401.81,293615.38,266554.41
6.5,293615.38,264483.53,293614.75,264616.41,293614.94,263471.88,293615.19,265557.59
6.5999999,293615.19,263477.47,293614.53,263669.84,293614.72,262532.69,293615,264543.41
6.6999998,293614.97,262454,293614.34,262710.41,293614.53,261580.22,293614.78,263512.09
6.8000002,293614.78,261417.95,293614.16,261742.88,293614.31,260619.61,293614.59,262467.91
6.9000001,293614.59,260367.44,293613.97,260761.88,293614.12,259650.3,293614.41,261405.19
7,293614.38,259296.06,293613.78,259764.34,293613.94,258663.12,293614.22,260322.7
7.0999999,293614.19,258215.52,293613.59,258763.75,293613.75,257670.31,293614.03,259233.22
7.1999998,293614,257123.58,293613.41,257750.31,293613.56,256671.45,293613.84,258126.5
7.3000002,293613.81,256014.3,293613.22,256724.23,293613.38,255656.89,293613.66,257004.91
7.4000001,293613.66,254900.98,293613.03,255698.84,293613.19,254641.84,293613.5,255880.86
7.5,293613.47,253781.25,293612.88,254666.72,293613,253623.09,293613.31,254747.56
7.5999999,293613.28,252656.89,293612.69,253634.17,293612.84,252601.45,293613.16,253611.88
7.6999998,293613.12,251533.77,293612.53,252605.09,293612.66,251582.72,293612.97,252478.5
7.8000002,293612.94,250415.88,293612.38,251583.98,293612.5,250570.41,293612.81,251351.53
7.9000001,293612.78,249307.7,293612.22,250574.09,293612.31,249569.06,293612.62,250234.81
8,293612.59,248211.84,293612.03,249579.08,293612.16,248580.48,293612.47,249132.66
8.1000004,293612.44,247135.91,293611.88,248607.19,293612,247611.95,293612.31,248053.3
8.1999998,293612.28,246084.86,293611.72,247661.02,293611.84,246668.56,293612.16,246999.53
8.3000002,293612.12,245061.69,293611.56,246745.27,293611.69,245752.88,293612,245976.25
8.3999996,293611.97,244073.44,293611.44,245867.64,293611.53,244871.64,293611.84,244991.89
8.5,293611.81,243126.2,293611.28,245032.41,293611.38,244030.75,293611.69,244049.86
8.6000004,293611.66,242223.5,293611.12,244244.19,293611.22,243234.25,293611.56,243155.77
8.6999998,293611.5,241370.72,293611,243508.19,293611.09,242486.38,293611.41,242314.27
8.8000002,293611.38,240572.91,293610.84,242830.81,293610.94,241793.48,293611.25,241531.92
8.8999996,293611.22,239837.36,293610.72,242216.72,293610.78,241161.33,293611.12,240814.09
9,293611.06,239162.38,293610.56,241664,293610.66,240589.56,293610.97,240155.98
9.1000004,293610.94,238554.36,293610.44,241187.34,293610.53,240085.05,293610.84,239578.41
9.1999998,293610.81,238024.55,293610.31,240784.42,293610.38,239655.89,293610.72,239071.08
9.3000002,293610.66,237560.12,293610.19,240450.39,293610.25,239294.56,293610.56,238634.47
9.3999996,293610.53,237175.42,293610.03,240199.08,293610.12,239010.09,293610.44,238281.09
9.5,293610.41,236864.16,293609.91,240018.55,293610,238800.84,293610.31,237997.95
9.6000004,293610.28,236626.53,293609.78,239915.09,293609.88,238662.14,293610.19,237795.12
9.6999998,293610.16,236467.58,293609.69,239891.69,293609.75,238602.31,293610.06,237670.27
9.8000002,293610.03,236381.39,293609.56,239936.58,293609.62,238617.22,293609.94,237615.66
9.8999996,293609.91,236367.52,293609.44,240055.45,293609.5,238697.25,293609.81,237638.62
10,293609.78,236427.84,293609.31,240250.91,293609.41,238856.31,293609.72,237733.84
10.1,293609.66,236556.28,293609.22,240505.92,293609.28,239081.81,293609.59,237894.77
10.2,293609.53,236750.47,293609.09,240828.66,293609.16,239366.77,293609.47,238123.91
10.3,293609.44,237009.09,293609,241211.31,293609.06,239717.34,293609.38,238415.38
10.4,293609.31,237327.81,293608.88,241650.67,293608.94,240125.31,293609.25,238765.83
10.5,293609.22,237703.45,293608.78,242142.89,293608.84,240587.78,293609.16,239172.09
10.6,293609.09,238132.48,293608.69,242683.88,293608.75,241100.67,293609.03,239630.27
10.7,293609,238611.31,293608.59,243269.64,293608.62,241660.25,293608.94,240136.69
10.8,293608.91,239136.39,293608.47,243896.31,293608.53,242262.64,293608.84,240687.77
10.9,293608.78,239704.17,293608.38,244560.09,293608.44,242904.02,293608.75,241279.97
11,293608.69,240311.25,293608.28,245257.17,293608.34,243580.7,293608.62,241909.75
11.1,293608.59,240954.3,293608.19,245983.97,293608.25,244289.14,293608.53,242573.8
11.2,293608.5,241630,293608.12,246737.06,293608.16,245025.84,293608.44,243268.77
11.3,293608.41,242335.27,293608.03,247513.14,293608.06,245787.53,293608.34,243991.59
11.4,293608.31,243067.12,293607.94,248309.12,293608,246571.05,293608.25,244739.31
11.5,293608.22,243822.7,293607.84,249122.02,293607.91,247373.44,293608.19,245509.06
11.6,293608.12,244599.28,293607.78,249949.06,293607.81,248191.84,293608.09,246298.12
11.7,293608.06,245394.25,293607.69,250787.62,293607.75,249023.62,293608,247103.91
11.8,293607.97,246205.11,293607.59,251635.3,293607.66,249866.25,293607.91,247924
11.9,293607.88,247029.52,293607.53,252489.69,293607.59,250717.33,293607.84,248756.05
12,293607.81,247865.28,293607.47,253348.61,293607.5,251574.67,293607.75,249597.89
12.1,293607.72,248710.34,293607.38,254210.03,293607.44,252436.2,293607.69,250447.45
12.2,293607.66,249562.56,293607.31,255072.05,293607.38,253299.89,293607.59,251302.69
12.3,293607.56,250420.11,293607.25,255932.86,293607.28,254163.97,293607.53,252161.78
12.4,293607.5,251281.14,293607.19,256790.86,293607.22,255026.69,293607.47,253022.92
12.5,293607.44,252144,293607.09,257644.55,293607.16,255886.48,293607.38,253884.48
12.6,293607.38,253007.08,293607.03,258492.47,293607.09,256741.89,293607.31,254744.89
12.7,293607.28,253868.84,293606.97,259333.28,293607.03,257591.52,293607.25,255602.66
12.8,293607.22,254727.94,293606.91,260165.73,293606.97,258434.09,293607.19,256456.47
12.9,293607.16,255582.95,293606.84,260988.77,293606.91,259268.47,293607.12,257304.94
13,293607.09,256432.66,293606.78,261801.33,293606.84,260093.52,293607.06,258146.88
13.1,293607.03,257275.86,293606.75,262602.5,293606.78,260908.27,293607,258981.16
13.2,293606.97,258111.48,293606.69,263391.47,293606.72,261711.81,293606.94,259806.7
13.3,293606.91,258938.47,293606.62,264167.47,293606.69,262503.34,293606.88,260622.53
13.4,293606.88,259755.94,293606.56,264929.81,293606.62,263282.16,293606.81,261427.81
13.5,293606.81,260563,293606.53,265677.94,293606.56,264047.56,293606.75,262221.72
13.6,293606.75,261358.89,293606.47,266411.25,293606.53,264799.03,293606.69,263003.53
13.7,293606.69,262142.86,293606.44,267129.38,293606.47,265536,293606.66,263772.53
13.8,293606.66,262914.25,293606.38,267831.91,293606.44,266258.06,293606.59,264528.12
13.9,293606.59,263672.5,293606.34,268518.56,293606.38,266964.88,293606.53,265269.81
14,293606.53,264417.06,293606.28,269189.09,293606.34,267656.06,293606.5,265997.03
14.1,293606.5,265147.47,293606.25,269843.34,293606.28,268331.44,293606.44,266709.41
14.2,293606.44,265863.38,293606.19,270481.16,293606.25,268990.81,293606.41,267406.69
14.3,293606.41,266564.41,293606.16,271102.47,293606.22,269634.06,293606.34,268088.53
14.4,293606.38,267250.31,293606.12,271707.22,293606.16,270261.09,293606.31,268754.75
14.5,293606.31,267920.84,293606.06,272295.47,293606.12,270871.88,293606.28,269405.12
14.6,293606.28,268575.88,293606.03,272867.25,293606.09,271466.41,293606.22,270039.62
14.7,293606.22,269215.22,293606,273422.72,293606.06,272044.78,293606.19,270658.06
14.8,293606.19,269838.81,293605.97,273961.97,293606,272607.03,293606.16,271260.41
14.9,293606.16,270446.66,293605.94,274485.22,293605.97,273153.38,293606.09,271846.75
15,293606.12,271038.72,293605.91,274992.62,293605.94,273683.88,293606.06,272417.12
15.1,293606.09,271615.09,293605.88,275484.44,293605.91,274198.81,293606.03,272971.66
15.2,293606.03,272175.84,293605.84,275960.94,293605.88,274698.34,293606,273510.44
15.3,293606,272721.09,293605.78,276422.34,293605.84,275182.72,293605.97,274033.66
15.4,293605.97,273250.97,293605.78,276869.03,293605.81,275652.25,293605.94,274541.44
15.5,293605.94,273765.62,293605.75,277301.31,293605.78,276107.16,293605.91,275033.97
15.6,293605.91,274265.28,293605.72,277719.47,293605.75,276547.75,293605.84,275511.56
15.7,293605.88,274750.19,293605.69,278123.88,293605.72,276974.38,293605.81,275974.47
15.8,293605.84,275220.53,293605.66,278514.84,293605.69,277387.34,293605.81,276422.94
15.9,293605.81,275676.69,293605.62,278892.78,293605.66,277787.03,293605.78,276857.34
16,293605.78,276118.84,293605.59,279258.03,293605.66,278173.75,293605.75,277277.97
16.1,293605.75,276547.38,293605.56,279610.97,293605.62,278547.84,293605.72,277685.12
16.200001,293605.72,276962.56,293605.53,279951.94,293605.59,278909.66,293605.69,278079.12
16.299999,293605.69,277364.72,293605.53,280281.34,293605.56,279259.56,293605.66,278460.34
16.4,293605.69,277754.16,293605.5,280599.56,293605.53,279597.97,293605.62,278829.09
16.5,293605.66,278131.12,293605.47,280906.91,293605.53,279925.09,293605.59,279185.66
16.6,293605.62,278495.88,293605.44,281203.72,293605.5,280241.34,293605.59,279530.28
16.700001,293605.59,278848.66,293605.44,281490.34,293605.47,280546.97,293605.56,279863.28
16.799999,293605.56,279190.25,293605.41,281767.31,293605.47,280842.56,293605.53,280185.38
16.9,293605.56,279520.78,293605.38,282034.84,293605.44,281128.34,293605.5,280496.69
17,293605.53,279840.53,293605.38,282293.28,293605.41,281404.62,293605.5,280797.62
17.1,293605.5,280149.81,293605.34,282542.94,293605.41,281671.78,293605.47,281088.47
17.200001,293605.5,280449.06,293605.34,282784.22,293605.38,281930.12,293605.44,281369.59
17.299999,293605.47,280738.62,293605.31,283017.44,293605.34,282180.03,293605.41,281641.41
17.4,293605.44,281018.75,293605.28,283242.91,293605.34,282421.78,293605.41,281904.12
17.5,293605.44,281289.75,293605.28,283460.91,293605.31,282655.66,293605.38,282158.09
17.6,293605.41,281551.97,293605.25,283671.69,293605.31,282881.97,293605.38,282403.66
17.700001,293605.38,281805.78,293605.25,283875.69,293605.28,283101.09,293605.34,282641.19
17.799999,293605.38,282051.47,293605.22,284073.12,293605.25,283313.25,293605.31,282870.97
17.9,293605.34,282289.25,293605.22,284264.25,293605.25,283518.69,293605.31,283093.19
18,293605.34,282519.44,293605.19,284449.28,293605.22,283717.69,293605.28,283308.19
18.1,293605.31,282742.41,293605.19,284628.56,293605.22,283910.56,293605.28,283516.34
18.200001,293605.28,282958.38,293605.16,284802.31,293605.19,284097.56,293605.25,283717.88
18.299999,293605.28,283167.62,293605.16,284970.78,293605.19,284278.88,293605.25,283913
18.4,293605.25,283370.41,293605.12,285134.16,293605.16,284454.78,293605.22,284102.03
18.5,293605.25,283566.94,293605.12,285292.66,293605.16,284625.44,293605.22,284285.19
18.6,293605.22,283757.53,293605.09,285446.53,293605.12,284791.19,293605.19,284462.75
18.700001,293605.22,283942.44,293605.09,285595.97,293605.12,284952.12,293605.19,284634.94
18.799999,293605.19,284121.81,293605.06,285741.19,293605.12,285108.53,293605.16,284801.97
18.9,293605.19,284295.88,293605.06,285882.28,293605.09,285260.5,293605.16,284964
19,293605.16,284464.94,293605.03,286019.56,293605.09,285408.34,293605.12,285121.34
19.1,293605.16,284629.12,293605.03,286153.12,293605.06,285552.16,293605.12,285274.16
19.200001,293605.12,284788.69,293605.03,286283.12,293605.06,285692.16,293605.09,285422.62
19.299999,293605.12,284943.78,293605,286409.75,293605.03,285828.47,293605.09,285566.91
19.4,293605.12,285094.59,293605,286533.16,293605.03,285961.28,293605.06,285707.25
19.5,293605.09,285241.34,293604.97,286653.47,293605.03,286090.75,293605.06,285843.78
19.6,293605.09,285384.16,293604.97,286770.84,293605,286217,293605.06,285976.69
19.700001,293605.06,285523.22,293604.97,286885.38,293605,286340.19,293605.03,286106.12
19.799999,293605.06,285658.69,293604.94,286997.22,293604.97,286460.41,293605.03,286232.22
19.9,293605.06,285790.72,293604.94,287106.47,293604.97,286577.84,293605,286355.12
20,293605.03,285919.47,293604.94,287213.28,293604.97,286692.56,293605,286475
20.1,293605.03,286045.03,293604.91,287317.72,293604.94,286804.72,293605,286591.97
