"Time","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","aimcM.is[3]","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.is[1]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.w","loadInertiaM.w","aimc3.is[1]","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.phi","aimcM.is[4]"
0.1,1.0227153e-07,9.9956776e-07,-0.0012247426,1.0227153e-07,9.2472916e-08,5.1151544e-12,-0.0004987506,9.9956776e-07,-0.00080699817,9.5718399e-08,-1.700053e-09,9.5718399e-08,9.832983e-11,9.832983e-11,-2.8330969e-09,9.2472916e-08,5.1151544e-12,0.00049875333
0.10006671,1.9140056e-05,0.0094197514,-12.859991,1.9140056e-05,-9.8638629e-05,5.1300257e-12,-5.28058,0.0094197514,-8.3939114,-6.6386427e-08,0.092857845,-6.6386427e-08,4.1417167e-10,4.1417167e-10,0.15476307,-9.8638629e-05,5.1300257e-12,5.1303329
0.10016678,0.00011862939,0.023483364,-32.255688,0.00011862939,-0.0006159186,5.4583894e-12,-13.407062,0.023483364,-20.757414,-2.1162778e-06,0.57827359,-2.1162778e-06,8.176162e-09,8.176162e-09,0.96378934,-0.0006159186,5.4583894e-12,12.471395
0.10026684,0.00030236706,0.037458532,-51.763176,0.00030236706,-0.0015740104,8.9846169e-12,-21.772215,0.037458532,-32.841679,-8.5573574e-06,1.4749408,-8.5573574e-06,7.2116848e-08,7.2116848e-08,2.4582345,-0.0015740104,8.9846169e-12,19.38571
0.10036691,0.00056924735,0.051332068,-71.361618,0.00056924735,-0.0029699155,2.7949757e-11,-30.365099,0.051332068,-44.637463,-2.2034399e-05,2.7776282,-2.2034399e-05,3.38766e-07,3.38766e-07,4.6293802,-0.0029699155,2.7949757e-11,25.870802
0.10046698,0.00091806834,0.065090775,-91.029892,0.00091806834,-0.0048001255,1.0597764e-10,-39.174438,0.065090775,-56.135746,-4.5174642e-05,4.4806395,-4.5174642e-05,1.1446338e-06,1.1446338e-06,7.4677324,-0.0048001255,1.0597764e-10,31.92461
0.10056704,0.0013475709,0.078721717,-110.74711,0.0013475709,-0.007060763,3.3020539e-10,-48.188915,0.078721717,-67.327873,-8.0532984e-05,6.5779977,-8.0532984e-05,3.0301599e-06,3.0301599e-06,10.96333,-0.007060763,3.3020539e-10,37.54549
0.10066711,0.0018564523,0.092211999,-130.49226,0.0018564523,-0.0097477129,8.3636847e-10,-57.397068,0.092211999,-78.205338,-0.00013065174,9.0635128,-0.00013065174,6.7178216e-06,6.7178216e-06,15.105854,-0.0097477129,8.3636847e-10,42.731995
0.10076718,0.0024433141,0.105549,-150.24448,0.0024433141,-0.012856282,1.8850546e-09,-66.78727,0.105549,-88.760086,-0.00019799132,11.930523,-0.00019799132,1.3356545e-05,1.3356545e-05,19.884205,-0.012856282,1.8850546e-09,47.48328
0.10086724,0.0031067291,0.11872014,-169.98288,0.0031067291,-0.016381608,3.8048262e-09,-76.347824,0.11872014,-98.9842,-0.000284996,15.172227,-0.000284996,2.4268587e-05,2.4268587e-05,25.287045,-0.016381608,3.8048262e-09,51.798649
