"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","mass.v","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","vfController.x","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","mass.s"
0.25071633,0.12875544,0.64471501,-0.33744019,9.8738184,-0.31422839,251.43044,0.288854,77.063606,0.05817299
0.25171921,0.12058429,0.65403104,-0.31880042,9.9529667,-0.33556119,267.05396,0.29846364,50.476868,0.058824182
0.25272205,0.11195191,0.66382933,-0.29844892,10.032432,-0.35554174,280.93353,0.30755043,23.639189,0.059484959
0.25372493,0.10288695,0.67409027,-0.27648383,10.112212,-0.37402704,292.94785,0.3160879,-3.2697797,0.060155798
0.25472778,0.093419485,0.6847918,-0.25301489,10.192308,-0.39088088,302.98709,0.32405138,-30.066387,0.060837153
0.25573066,0.083581246,0.69590974,-0.22816449,10.27272,-0.40597466,310.95331,0.33141807,-56.562618,0.061529446
0.25673354,0.07340508,0.70741791,-0.20206575,10.353449,-0.41918871,316.76239,0.33816707,-82.569366,0.06223309
0.25773638,0.062925048,0.71928835,-0.17486341,10.434493,-0.43041313,320.34433,0.34427968,-107.89617,0.062948458
0.25873926,0.052176055,0.73149174,-0.14671172,10.515854,-0.43954888,321.64496,0.3497391,-132.3546,0.063675903
0.25974211,0.041193772,0.74399734,-0.117775,10.597529,-0.44650874,320.62619,0.35453093,-155.7581,0.064415738
0.26074499,0.030014373,0.75677365,-0.088225551,10.679522,-0.4512181,317.26715,0.35864273,-177.9254,0.065168254
0.26174784,0.018674418,0.76978827,-0.058243908,10.76183,-0.45361614,311.56436,0.36206448,-198.68034,0.065933704
0.26275072,0.0072106072,0.78300852,-0.028016627,10.844454,-0.45365611,303.53259,0.36478814,-217.8553,0.066712312
0.26375359,-0.004340359,0.79640144,0.0022636726,10.927394,-0.45130673,293.20468,0.36680803,-235.29103,0.067504264
0.26475644,-0.015941948,0.8099342,0.032400608,11.010651,-0.44655207,280.6319,0.36812043,-250.83975,0.068309724
0.26575932,-0.027557984,0.82357442,0.062194265,11.094222,-0.43939281,265.88376,0.36872384,-264.36517,0.069128811
0.26676217,-0.039152749,0.83729017,0.091443464,11.17811,-0.42984608,249.04778,0.36861879,-275.74512,0.069961622
0.26776505,-0.05069118,0.85105026,0.11994635,11.262314,-0.41794646,230.22914,0.36780769,-284.87164,0.070808209
0.26876792,-0.062138934,0.86482471,0.1475025,11.346834,-0.40374547,209.54999,0.36629495,-291.65323,0.071668603
0.26977077,-0.073462561,0.8785845,0.1739139,11.43167,-0.3873125,187.14883,0.36408672,-296.01483,0.072542809
0.27077365,-0.084629543,0.89230216,0.19898687,11.516822,-0.36873403,163.1795,0.36119089,-297.89951,0.073430799
0.2717765,-0.095608443,0.90595162,0.22253333,11.602289,-0.34811407,137.81036,0.35761705,-297.26868,0.074332505
0.27277938,-0.10636894,0.91950828,0.24437261,11.688073,-0.32557362,111.2229,0.35337624,-294.10303,0.075247861
