"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.w","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.phi","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","transformer.l2sigma.inductor[1].i","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","transformer.l2sigma.inductor[3].i"
2,0.10901041,120.69533,0.19486366,132.17842,0.12938024,-181.96883,364.61084,-0.098430477,-91.320763,-455.24298
2.0000975,0.10971225,120.69807,0.18753225,132.1902,0.14043355,-197.87114,0.00053127366,-0.097636715,-78.085693,0.014668154
2.0001976,0.11042327,120.70136,0.17968753,132.20227,0.15150145,-213.86748,0.0010726831,-0.096781187,-64.244606,0.014375523
2.0002975,0.11112636,120.70516,0.17151457,132.21434,0.16229312,-229.54211,0.0016130286,-0.095883362,-50.138283,0.014068709
2.0003977,0.11182211,120.70947,0.16302173,132.22641,0.17279899,-244.88167,0.0021517784,-0.09494365,-35.783348,0.013748011
2.0004976,0.11251114,120.7143,0.15421821,132.23848,0.18300907,-259.87177,0.0026884009,-0.093962513,-21.197426,0.013413748
2.0005975,0.11319406,120.71964,0.14511347,132.25055,0.1929141,-274.49918,0.0032223668,-0.092940435,-6.3981686,0.01306625
2.0006976,0.11387143,120.72552,0.13571706,132.26263,0.20250492,-288.75092,0.0037531487,-0.091877878,8.5969076,0.012705857
2.0007975,0.11454383,120.73191,0.1260388,132.2747,0.21177264,-302.61438,0.004280223,-0.090775341,23.770245,0.012332927
2.0008976,0.11521182,120.73884,0.11608878,132.28677,0.22070882,-316.07755,0.0048030699,-0.089633316,39.104115,0.011947829
2.0009975,0.11587596,120.7463,0.10587724,132.29886,0.22930515,-329.12878,0.0053211716,-0.088452309,54.580944,0.011550937
2.0010977,0.11653677,120.7543,0.095415011,132.31093,0.23755412,-341.7572,0.0058340202,-0.087232873,70.182549,0.011142652
2.0011976,0.11719477,120.76283,0.084712699,132.323,0.2454479,-353.95184,0.0063411058,-0.085975513,85.891441,0.010723369
2.0012977,0.11785048,120.77191,0.07378155,132.33508,0.25297955,-365.70273,0.0068419306,-0.084680781,101.68948,0.010293506
2.0013976,0.1185044,120.78152,0.062632725,132.34715,0.26014209,-377,0.0073359986,-0.083349243,117.55898,0.0098534832
2.0014977,0.119157,120.79167,0.051277775,132.35924,0.26692918,-387.83459,0.0078228246,-0.081981465,133.48198,0.0094037401
2.0015976,0.11980878,120.80236,0.039728343,132.37132,0.27333459,-398.19763,0.0083019258,-0.080578007,149.44073,0.0089447182
