"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","PI.x","loadInertia.w","aimc.airGap.V_mrr.re","aimc.airGap.V_mrr.im","aimc.stator.port_p.V_m.im","aimc.airGap.V_msr.re","aimc.is[2]","aimc.stator.core.Phi.im","aimc.stator.core.Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","powerSensor.flange_a.phi","aimc.is[1]","aimc.stator.port_p.V_m.re","aimc.airGap.V_msr.im"
4.5,1.1284667,1.5162366e-06,157.04182,0.1792818,-0.15303497,-4.2443953,4.9129758,-0.84196085,0.91572183,1.5482918,1.3487022,706.6875,-6.7797809,-6.7237339,6.251893
4.5000978,1.1284575,0.0010836364,157.04182,0.17928304,-0.15303259,-4.4489994,4.9129329,-1.09706,0.96286589,1.5194223,1.3487101,706.70288,-6.6264248,-6.5901361,6.2519259
4.5001979,1.128448,0.0044184108,157.04182,0.17928569,-0.15302806,-4.6538043,4.9128871,-1.3567553,1.0101174,1.488428,1.3487183,706.71857,-6.4631906,-6.4471345,6.2519584
4.500298,1.128438,0.0099971462,157.04182,0.17928869,-0.15302277,-4.8540187,4.9128385,-1.6151146,1.0563726,1.4559644,1.348727,706.73431,-6.2935758,-6.2977681,6.2519922
4.5003977,1.1284279,0.017810907,157.04182,0.17929116,-0.15301716,-5.0494432,4.9127903,-1.8718802,1.1015857,1.4220639,1.3487359,706.75,-6.1177511,-6.1421876,6.252027
4.5004978,1.128418,0.027851619,157.04181,0.17929272,-0.15301117,-5.2398839,4.912744,-2.126797,1.1457117,1.3867602,1.348745,706.76569,-5.9358902,-5.980547,6.2520614
4.500598,1.1284082,0.04011203,157.04181,0.17929326,-0.1530045,-5.4251523,4.9126992,-2.3796129,1.1887068,1.350088,1.348754,706.78137,-5.7481728,-5.8130054,6.2520957
4.5006976,1.1283985,0.054585382,157.04181,0.17929286,-0.15299693,-5.6050658,4.9126558,-2.630079,1.2305287,1.3120832,1.3487631,706.79712,-5.5547838,-5.6397285,6.2521286
4.5007977,1.1283888,0.071265072,157.04179,0.17929165,-0.15298837,-5.7794461,4.9126129,-2.877948,1.2711363,1.2727836,1.348772,706.81281,-5.3559132,-5.460886,6.2521605
4.5008979,1.1283789,0.090144239,157.04179,0.17928988,-0.15297893,-5.9481211,4.91257,-3.1229751,1.3104892,1.2322278,1.3487809,706.82849,-5.1517572,-5.2766547,6.2521906
4.500998,1.1283687,0.11121514,157.04178,0.17928797,-0.15296894,-6.1109247,4.9125266,-3.3649194,1.3485485,1.1904556,1.3487896,706.84424,-4.9425168,-5.0872154,6.2522192
4.5010977,1.1283586,0.13446866,157.04176,0.17928636,-0.15295883,-6.2676973,4.9124823,-3.6035426,1.385277,1.1475084,1.3487982,706.85992,-4.7283983,-4.8927555,6.2522478
4.5011978,1.1283485,0.15989465,157.04176,0.17928517,-0.15294875,-6.4182844,4.9124379,-3.8386095,1.4206382,1.1034287,1.3488067,706.87561,-4.5096135,-4.6934667,6.2522759
4.501298,1.1283385,0.18748257,157.04175,0.17928441,-0.15293872,-6.5625372,4.9123931,-4.0698881,1.4545975,1.05826,1.3488153,706.89136,-4.2863784,-4.4895463,6.2523046
4.5013981,1.1283283,0.21722205,157.04173,0.17928404,-0.15292865,-6.7003136,4.9123478,-4.2971497,1.4871211,1.0120469,1.348824,706.90704,-4.0589132,-4.2811952,6.2523332
4.5014977,1.1283182,0.24910295,157.04172,0.17928407,-0.15291852,-6.8314772,4.912302,-4.5201707,1.5181772,0.96483511,1.3488326,706.92273,-3.8274422,-4.0686188,6.2523618
4.5015979,1.1283082,0.28311512,157.0417,0.17928456,-0.15290838,-6.9558988,4.9122558,-4.7387309,1.5477349,0.91667098,1.3488412,706.93842,-3.5921936,-3.8520272,6.2523899
4.501698,1.128298,0.31924838,157.04169,0.17928556,-0.1528983,-7.0734553,4.9122095,-4.9526138,1.575765,0.86760223,1.3488499,706.95416,-3.3534002,-3.631634,6.2524185
4.5017977,1.1282879,0.35749236,157.04167,0.17928709,-0.15288828,-7.1840315,4.9121623,-5.1616092,1.60224,0.8176772,1.3488585,706.96985,-3.1112971,-3.4076567,6.2524471
4.5018978,1.1282779,0.39783669,157.04166,0.17928922,-0.15287834,-7.2875171,4.9121141,-5.3655105,1.6271337,0.76694518,1.3488671,706.98553,-2.8661234,-3.1803162,6.2524757
4.5019979,1.1282678,0.44027093,157.04163,0.17929193,-0.15286852,-7.383811,4.912066,-5.564117,1.6504216,0.71545631,1.3488756,707.00128,-2.6181211,-2.9498372,6.2525043
4.5020981,1.1282576,0.48478448,157.04161,0.17929526,-0.15285879,-7.4728174,4.9120169,-5.7572317,1.6720808,0.66326129,1.3488842,707.01697,-2.3675349,-2.7164466,6.2525334
4.5021977,1.1282476,0.53136677,157.0416,0.17929919,-0.15284908,-7.5544486,4.9119673,-5.9446645,1.6920896,0.6104117,1.3488928,707.03265,-2.1146119,-2.4803751,6.252562
4.5022979,1.1282375,0.58000743,157.04156,0.17930377,-0.15283951,-7.628624,4.9119172,-6.1262302,1.7104285,0.55695969,1.3489015,707.0484,-1.859602,-2.2418556,6.2525911
4.502398,1.1282274,0.63069618,157.04153,0.17930903,-0.15283009,-7.6952705,4.9118657,-6.3017497,1.7270793,0.50295794,1.3489101,707.06409,-1.6027565,-2.0011234,6.2526202
4.5024977,1.1282173,0.68342239,157.04152,0.17931499,-0.15282086,-7.7543225,4.9118142,-6.4710498,1.7420256,0.44845986,1.3489187,707.07977,-1.3443291,-1.7584161,6.2526493
4.5025978,1.1282072,0.73817557,157.04149,0.17932171,-0.15281186,-7.8057208,4.9117613,-6.6339636,1.7552527,0.39351919,1.3489273,707.09552,-1.0845748,-1.5139732,6.2526789
4.5026979,1.1281971,0.79494506,157.04146,0.17932919,-0.15280312,-7.8494158,4.9117084,-6.7903304,1.7667476,0.33819014,1.3489358,707.11121,-0.82374984,-1.2680359,6.2527089
4.5027981,1.1281871,0.85372019,157.04143,0.17933743,-0.15279466,-7.8853641,4.911654,-6.9399953,1.7764988,0.28252733,1.3489445,707.12689,-0.56211179,-1.0208471,6.252739
4.5028977,1.1281769,0.9144901,157.04141,0.17934644,-0.15278646,-7.9135294,4.9115992,-7.0828109,1.7844968,0.22658569,1.3489531,707.14258,-0.2999188,-0.77265048,6.2527695
4.5029979,1.1281669,0.97724402,157.04138,0.17935625,-0.15277858,-7.9338841,4.9115434,-7.218636,1.7907336,0.17042041,1.3489617,707.15833,-0.037429597,-0.52369118,6.2528
4.503098,1.1281568,1.0419713,157.04135,0.17936687,-0.15277101,-7.9464087,4.9114871,-7.3473363,1.795203,0.11408696,1.3489703,707.17401,0.22509676,-0.27421486,6.2528315
4.5031977,1.1281466,1.1086613,157.04131,0.17937833,-0.1527638,-7.9510899,4.9114294,-7.4687853,1.7979008,0.057640899,1.3489789,707.1897,0.48740122,-0.024467653,6.2528625
4.5032978,1.1281365,1.1773032,157.04128,0.17939067,-0.15275697,-7.9479237,4.9113708,-7.5828629,1.7988241,0.0011379513,1.3489876,707.20544,0.7492249,0.22530393,6.2528944
4.5033979,1.1281265,1.2478863,157.04124,0.17940392,-0.15275057,-7.936913,4.9113116,-7.6894565,1.7979722,-0.055366118,1.3489962,707.22113,1.0103093,0.4748534,6.2529268
4.5034981,1.1281164,1.3203996,157.04121,0.1794181,-0.15274461,-7.9180684,4.9112515,-7.7884607,1.7953458,-0.11181553,1.3490047,707.23682,1.2703969,0.72393441,6.2529593
4.5035977,1.1281062,1.3948323,157.04117,0.17943324,-0.15273908,-7.8914089,4.91119,-7.8797774,1.7909476,-0.1681546,1.3490133,707.25256,1.5292311,0.97230119,6.2529926
4.5036979,1.1280962,1.4711732,157.04114,0.17944932,-0.152734,-7.8569603,4.911128,-7.9633174,1.7847818,-0.22432771,1.349022,707.26825,1.786556,1.2197086,6.2530265
4.503798,1.1280861,1.5494115,157.04109,0.17946637,-0.15272938,-7.8147569,4.9110646,-8.0389977,1.7768546,-0.28027943,1.3490306,707.28394,2.0421178,1.4659122,6.2530603
4.5038981,1.128076,1.6295364,157.04105,0.17948437,-0.15272522,-7.7648396,4.9110003,-8.1067419,1.7671739,-0.33595452,1.3490392,707.29962,2.2956645,1.7106693,6.2530951
4.5039978,1.1280659,1.711537,157.04102,0.17950335,-0.15272157,-7.7072582,4.9109354,-8.1664858,1.755749,-0.39129806,1.3490478,707.31537,2.5469456,1.9537381,6.25313
4.5040979,1.1280558,1.7954025,157.04097,0.17952336,-0.1527185,-7.6420693,4.9108686,-8.2181692,1.7425914,-0.44625542,1.3490564,707.33105,2.7957129,2.1948788,6.2531657
4.5041981,1.1280457,1.8811219,157.04092,0.17954443,-0.152716,-7.5693369,4.9108014,-8.2617407,1.7277139,-0.50077236,1.3490651,707.34674,3.0417213,2.4338534,6.253202
4.5042977,1.1280355,1.9686841,157.04088,0.17956659,-0.15271415,-7.4891334,4.9107327,-8.2971573,1.7111313,-0.55479509,1.3490736,707.36249,3.2847278,2.6704261,6.2532392
4.5043979,1.1280254,2.0580778,157.04083,0.17958985,-0.15271293,-7.4015374,4.9106631,-8.3243837,1.6928601,-0.60827023,1.3490822,707.37817,3.5244925,2.9043632,6.2532768
