"Time","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.inertiaRotor.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.is[1]","smee.inertiaRotor.w","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smee.is[2]"
2,6.1211989e-07,-0.45015827,300.02209,0.45015833,-0.00017153197,157.07968,-5.5496957e-06,-0.46170077,0.00018563298
2.0000975,0.013795961,-0.45015827,300.03741,0.44994688,-0.0002813215,157.09651,-5.5416053e-06,-0.46170077,0.0022693456
2.0001976,0.027922416,-0.45015827,300.05313,0.4492915,-0.0007181231,157.11374,-5.5164701e-06,-0.46170077,0.0077326815
2.0002975,0.042021692,-0.45015827,300.06885,0.44819272,-0.0017924508,157.13098,-5.4631614e-06,-0.46170077,0.015583259
2.0003977,0.05607979,-0.45015827,300.08456,0.44665155,-0.0037596938,157.14821,-5.3724152e-06,-0.46170077,0.026028104
2.0004976,0.07008265,-0.45015827,300.10028,0.44466963,-0.0071484069,157.16544,-5.2328855e-06,-0.46170077,0.039608151
2.0005975,0.084016442,-0.45015827,300.116,0.442249,-0.012402833,157.18266,-5.0330009e-06,-0.46170077,0.056433331
2.0006976,0.097867355,-0.45015827,300.13171,0.43939194,-0.019613497,157.19987,-4.7610397e-06,-0.46170077,0.076580755
2.0007975,0.1116217,-0.45015827,300.14743,0.4361012,-0.028833693,157.21707,-4.4052554e-06,-0.46170077,0.099957444
2.0008976,0.12526593,-0.45015827,300.16315,0.43237993,-0.040076245,157.23425,-3.9538691e-06,-0.4617008,0.12641902
2.0009975,0.13878663,-0.4501583,300.17889,0.42823204,-0.054109298,157.25143,-3.395528e-06,-0.4617008,0.15605342
2.0010977,0.15217042,-0.4501583,300.19461,0.42366135,-0.070606597,157.26859,-2.7189483e-06,-0.4617008,0.1886228
2.0011976,0.16540411,-0.4501583,300.21033,0.41867238,-0.089770749,157.28574,-1.9131758e-06,-0.4617008,0.22405373
2.0012977,0.17847469,-0.45015833,300.22607,0.41327015,-0.1120222,157.30287,-9.6784686e-07,-0.46170083,0.26221773
2.0013976,0.19136924,-0.45015833,300.24179,0.40745983,-0.13719253,157.31998,1.2727972e-07,-0.46170083,0.30290955
2.0014977,0.20407499,-0.45015836,300.25754,0.40124705,-0.16527569,157.33707,1.3820506e-06,-0.46170083,0.34599105
2.0015976,0.21657951,-0.45015836,300.27325,0.39463812,-0.19686069,157.35414,2.8068116e-06,-0.46170083,0.39131472
2.0016975,0.22887039,-0.45015839,300.289,0.38763961,-0.23209813,157.37119,4.4110079e-06,-0.46170086,0.43886003
2.0017977,0.24093542,-0.45015839,300.30475,0.38025847,-0.27136829,157.38821,6.2040695e-06,-0.46170086,0.48869473
2.0018976,0.25276288,-0.45015842,300.3205,0.37250173,-0.31422839,157.40521,8.1957132e-06,-0.46170089,0.54003173
2.0019977,0.26434097,-0.45015845,300.33624,0.36437723,-0.36106056,157.4222,1.0395049e-05,-0.46170089,0.59301579
2.0020976,0.27565816,-0.45015845,300.35196,0.35589299,-0.41207004,157.43915,1.2811131e-05,-0.46170092,0.64766604
2.0021977,0.28670353,-0.45015848,300.36771,0.34705725,-0.46704447,157.45607,1.5453577e-05,-0.46170092,0.7032156
2.0022976,0.29746601,-0.45015851,300.38345,0.33787879,-0.52615136,157.47296,1.8331342e-05,-0.46170095,0.75967073
2.0023978,0.30793491,-0.45015854,300.3992,0.32836676,-0.58954972,157.48982,2.145335e-05,-0.46170095,0.81705123
2.0024977,0.31810006,-0.45015857,300.41498,0.31853038,-0.65694875,157.50665,2.4828531e-05,-0.46170098,0.87458503
2.0025976,0.3279514,-0.4501586,300.43073,0.30837935,-0.72839844,157.52347,2.8465687e-05,-0.46170098,0.93212795
2.0026977,0.33747903,-0.45015863,300.44647,0.29792383,-0.80401832,157.54024,3.2373518e-05,-0.46170101,0.98968428
2.0027976,0.34667373,-0.45015866,300.46222,0.28717396,-0.88349479,157.55696,3.6560388e-05,-0.46170104,1.0465541
2.0028977,0.35552636,-0.45015872,300.478,0.27614033,-0.96676809,157.57367,4.1034651e-05,-0.46170107,1.1024606
2.0029976,0.36402813,-0.45015875,300.49374,0.26483396,-1.053937,157.59033,4.5804609e-05,-0.4617011,1.1574003
2.0030978,0.3721706,-0.4501588,300.50949,0.25326595,-1.1447544,157.60696,5.0878498e-05,-0.46170112,1.2108809
2.0031977,0.37994584,-0.45015886,300.52527,0.24144763,-1.2390285,157.62355,5.6264456e-05,-0.46170115,1.2624943
2.0032978,0.38734606,-0.45015892,300.54102,0.22939074,-1.3367265,157.64009,6.1970481e-05,-0.46170121,1.3120646
2.0033977,0.394364,-0.45015898,300.55679,0.21710715,-1.4376262,157.6566,6.8004549e-05,-0.46170124,1.3592173
2.0034978,0.40099266,-0.45015904,300.57257,0.20460895,-1.541473,157.67308,7.4374548e-05,-0.4617013,1.4035468
