"Time","smee.is[1]","smee.is[2]","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","speed.phi","speed.w","voltageController.I.y","loadInductor.inductor[2].i","loadInductor.inductor[3].i"
0,-5.9093787e-21,-2.8852056e-21,0.00033488855,0.00015384977,0.0003460515,0.0001589781,0.00033488855,0,0,0,2.8852056e-21,-8.7945843e-21
0.062624753,-9.2930333e-07,-8.2751274e-07,-0.003542701,-0.0020953037,-0.0035411224,9.5684125e-05,-0.0046617901,0.27830133,9.3370733,1.3313287,8.2751274e-07,-1.756816e-06
0.062624753,-9.2930333e-07,-8.2751274e-07,-0.003542701,-0.0020953037,-0.0035411224,9.5684125e-05,-0.0046617901,0.27830133,9.3370733,1.3313287,8.2751274e-07,-1.756816e-06
1,-0.0012652965,-7.7416313e-05,-0.26149899,0.40425748,-0.48194692,-9.2570124e-05,-0.49343446,78.041412,156.57964,55.263622,7.7416313e-05,-0.0013427128
2,-0.0011904277,-6.6764042e-05,-0.24332426,0.37892202,-0.45031115,-1.8039138e-05,-0.46187446,235.11945,157.07964,50.184391,6.6764042e-05,-0.0012571918
2,-0.0011904277,-6.6764042e-05,-0.24332426,0.37892202,-0.45031115,-1.8039138e-05,-0.46187446,235.11945,157.07964,50.184391,6.6764042e-05,-0.0012571918
4,-113.49752,129.81308,0.0061346064,0.46099094,-0.42671269,0.23834702,-0.45385319,549.27869,157.07964,117.56973,-129.81308,16.315563
4,-113.49752,129.81308,0.0061346064,0.46099094,-0.42671269,0.23834702,-0.45385319,549.27869,157.07964,117.56973,-129.81308,16.315563
4.0003085,-118.42934,118.42966,-0.039478432,0.46124482,-0.42672616,0.23834993,-0.45383638,549.32715,157.07964,117.56463,-118.42966,0.00033073549
4.0003085,-118.42934,118.42966,-0.039478432,0.46124482,-0.42672616,0.23834993,-0.45383638,549.32715,157.07964,117.56463,-118.42966,0.00033073549
4.0040221,-0.0028043773,0.00059999997,-0.48049334,0.10181466,-0.42965385,0.23091222,-0.45454597,549.91046,157.07964,117.20673,-0.00059999997,-0.0022043772
4.0040221,-0.0028043773,0.00059999997,-0.48049334,0.10181466,-0.42965385,0.23091222,-0.45454597,549.91046,157.07964,117.20673,-0.00059999997,-0.0022043772
4.0040221,-0.0005999998,-0.0010109496,-0.48049721,0.10180109,-0.42965403,0.23091204,-0.45454606,549.91052,157.07964,117.20673,0.0010109496,-0.0016109494
4.0040221,-0.0005999998,-0.0010109496,-0.48049721,0.10180109,-0.42965403,0.23091204,-0.45454606,549.91052,157.07964,117.20673,0.0010109496,-0.0016109494
4.0500002,0.0015795622,-0.00041946355,0.13665889,-0.49772415,-0.48853001,0.15905838,-0.50846452,557.13269,157.07964,112.60305,0.00041946355,0.0011600986
4.0500002,0.0015795622,-0.00041946355,0.13665889,-0.49772415,-0.48853001,0.15905838,-0.50846452,557.13269,157.07964,112.60305,0.00041946355,0.0011600986
