"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.airGap.V_mrr.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.airGap.V_msr.im","loadInertia.w","imc.airGap.V_mrr.im","loadInertiaQS.w","imc.airGap.V_msr.re","loadInertiaQS.phi","imc.stator.port_p.V_m.im","loadInertia.phi","imc.stator.port_p.V_m.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.450075,0.43484116,-0.0024812196,-0.015106793,0.45097229,157.07961,-2.4911071e-05,157.07964,45.01371,69.912216,1.5107599,70.697609,44.990608,0.0043564793,1.5707964,-0.44988215
0.45017502,0.43484116,-0.00248121,-0.029232832,0.45097241,157.07961,-2.4902549e-05,157.07964,45.01371,69.927933,2.9234388,70.713318,44.92094,0.0043564807,1.5707964,-0.44918549
0.45027503,0.43484116,-0.0024812019,-0.04333001,0.45097265,157.07961,-2.4892399e-05,157.07964,45.01371,69.943642,4.3332319,70.729027,44.806923,0.004356483,1.5707964,-0.44804537
0.45037505,0.43484116,-0.0024811961,-0.057384413,0.45097286,157.07961,-2.4879915e-05,157.07964,45.01371,69.959351,5.7387471,70.744743,44.648674,0.0043564849,1.5707964,-0.44646296
0.45047507,0.43484116,-0.002481194,-0.071382165,0.450973,157.07961,-2.4865221e-05,157.07964,45.01371,69.97506,7.1385965,70.760452,44.446346,0.0043564867,1.5707964,-0.4444398
0.45057508,0.43484116,-0.0024811914,-0.085309446,0.45097321,157.07961,-2.4849362e-05,157.07964,45.01371,69.990776,8.5313988,70.776161,44.200142,0.0043564891,1.5707964,-0.44197789
0.4506751,0.43484116,-0.0024811903,-0.099152513,0.45097339,157.07961,-2.483302e-05,157.07964,45.01371,70.006485,9.9157791,70.79187,43.910301,0.0043564904,1.5707964,-0.43907964
0.45077512,0.43484116,-0.0024811905,-0.11289769,0.45097354,157.07961,-2.4816345e-05,157.07964,45.01371,70.022194,11.290371,70.807587,43.577114,0.0043564923,1.5707964,-0.43574795
0.45087513,0.43484116,-0.0024811917,-0.12653142,0.45097378,157.07961,-2.4799974e-05,157.07964,45.01371,70.037903,12.653816,70.823296,43.200905,0.0043564946,1.5707964,-0.43198606
0.45097515,0.43484116,-0.0024811921,-0.14004023,0.4509739,157.07961,-2.4785009e-05,157.07964,45.01371,70.053612,14.004769,70.839005,42.782051,0.004356496,1.5707964,-0.42779773
0.45107517,0.43484116,-0.0024811928,-0.15341081,0.45097411,157.07961,-2.477095e-05,157.07964,45.01371,70.069328,15.341897,70.854713,42.320957,0.0043564984,1.5707964,-0.42318705
0.45117518,0.43484116,-0.0024811928,-0.16662993,0.45097432,157.07961,-2.4758196e-05,157.07964,45.01371,70.085037,16.663879,70.870422,41.818089,0.0043565007,1.5707964,-0.41815862
0.4512752,0.43484116,-0.0024811912,-0.17968453,0.45097446,157.07961,-2.4746596e-05,157.07964,45.01371,70.100746,17.96941,70.886139,41.273933,0.0043565021,1.5707964,-0.41271737
0.45137522,0.43484116,-0.0024811889,-0.19256178,0.4509747,157.07961,-2.4736046e-05,157.07964,45.01371,70.116455,19.257202,70.901848,40.689034,0.0043565044,1.5707964,-0.40686867
0.45147523,0.43484116,-0.0024811854,-0.20524891,0.45097488,157.07961,-2.4725749e-05,157.07964,45.01371,70.132164,20.525984,70.917557,40.063965,0.0043565063,1.5707964,-0.40061831
0.45157525,0.43484116,-0.0024811812,-0.21773341,0.45097503,157.07961,-2.4715453e-05,157.07964,45.01371,70.147881,21.774502,70.933266,39.399345,0.0043565077,1.5707964,-0.39397249
0.45167527,0.43484116,-0.0024811768,-0.23000298,0.45097527,157.07961,-2.4705279e-05,157.07964,45.01371,70.163589,23.001522,70.948975,38.695831,0.00435651,1.5707964,-0.38693771
0.45177528,0.43484116,-0.0024811726,-0.24204548,0.45097542,157.07961,-2.4694598e-05,157.07964,45.01371,70.179298,24.205837,70.964691,37.954113,0.0043565119,1.5707964,-0.37952092
0.4518753,0.43484116,-0.0024811684,-0.25384903,0.45097563,157.07961,-2.4683673e-05,157.07964,45.01371,70.195007,25.386255,70.9804,37.174931,0.0043565137,1.5707964,-0.37172949
0.45197532,0.43484116,-0.0024811637,-0.26540199,0.45097584,157.07961,-2.467277e-05,157.07964,45.01371,70.210724,26.541611,70.996109,36.359047,0.0043565161,1.5707964,-0.36357111
0.45207533,0.43484116,-0.0024811588,-0.27669293,0.45097598,157.07961,-2.4662348e-05,157.07964,45.01371,70.226433,27.670767,71.011818,35.507267,0.0043565175,1.5707964,-0.35505378
0.45217535,0.43484116,-0.0024811542,-0.28771073,0.45097619,157.07961,-2.4651934e-05,157.07964,45.01371,70.242142,28.772604,71.027534,34.620438,0.0043565198,1.5707964,-0.34618592
