"Time","smee.stator.stray.port_p.Phi.re","constantSpeedQS.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smeeQS.short.port_p.reference.gamma","smee.excitation.electroMagneticConverter.Phi.re","constantSpeed.phi"
14.9,-0.081512794,2338.1409,0.44923505,0.024462378,-0.0030758358,4.6914449,0.34615871,2337.3555
14.9001,-0.081376031,2338.1565,0.44824526,0.038561143,-0.0056338478,4.6914659,0.34615865,2337.3711
14.9002,-0.081159003,2338.1721,0.44681308,0.052621868,-0.0081863049,4.6914868,0.34615859,2337.3867
14.9003,-0.080861941,2338.188,0.44493997,0.066630676,-0.010730688,4.6915078,0.34615853,2337.4026
14.9004,-0.080485135,2338.2036,0.44262776,0.080573745,-0.013264489,4.6915288,0.34615847,2337.4182
14.9005,-0.080028944,2338.2192,0.4398787,0.094437316,-0.01578521,4.6915498,0.34615842,2337.4338
14.9006,-0.079493836,2338.2351,0.43669558,0.1082077,-0.018290363,4.6915708,0.34615839,2337.4497
14.9007,-0.078880318,2338.2507,0.43308145,0.12187131,-0.020777479,4.6915917,0.34615833,2337.4653
14.9008,-0.078189015,2338.2664,0.42903993,0.13541467,-0.023244103,4.6916127,0.34615827,2337.481
14.9009,-0.0774206,2338.282,0.42457497,0.14882441,-0.025687806,4.6916337,0.34615821,2337.4966
14.901,-0.076575823,2338.2979,0.41969103,0.16208728,-0.028106174,4.6916547,0.34615815,2337.5125
14.9011,-0.075655527,2338.3135,0.41439289,0.17519021,-0.030496825,4.6916752,0.34615809,2337.5281
14.9012,-0.074660622,2338.3291,0.40868577,0.18812026,-0.032857399,4.6916962,0.34615803,2337.5437
14.9013,-0.073592082,2338.345,0.40257534,0.20086469,-0.035185568,4.6917171,0.34615797,2337.5596
14.9014,-0.072450966,2338.3606,0.39606762,0.21341088,-0.037479039,4.6917381,0.34615791,2337.5752
14.9015,-0.071238391,2338.3762,0.38916901,0.2257465,-0.039735544,4.6917591,0.34615785,2337.5908
